user_id,signup_date,acquisition_channel,region,age_group,gender,plan_type,is_active
USR_00101,2023-06-08,Email,South,35-44,Female,Pro Plan,0
USR_00102,2023-10-17,TikTok,East,18-24,Female,Pro Plan,1
USR_00103,2023-10-30,Google_Search,East,45-54,Female,Enterprise Plan,0
USR_00104,2023-10-25,TikTok,North,18-24,Other,Pro Plan,0
USR_00105,2023-05-25,Organic,West,55+,Female,Basic Plan,1
USR_00106,2023-06-20,Google_Search,Central,35-44,Other,Enterprise Plan,0
USR_00107,2023-12-17,TikTok,North,55+,Female,Enterprise Plan,0
USR_00108,2023-09-06,Meta_Facebook,South,45-54,Other,Pro Plan,1
USR_00109,2023-08-13,Google_Search,West,55+,Male,Pro Plan,1
USR_00110,2023-10-20,Organic,West,25-34,Female,One-Time Purchase,0
USR_00111,2023-09-22,Google_Search,East,35-44,Other,Pro Plan,1
USR_00112,2023-04-24,Organic,East,18-24,Other,One-Time Purchase,1
USR_00113,2023-07-17,Google_Search,East,35-44,Other,Basic Plan,1
USR_00114,2023-03-12,Google_Search,East,25-34,Other,Pro Plan,1
USR_00115,2023-01-10,Email,South,18-24,Other,One-Time Purchase,1
USR_00116,2023-09-13,TikTok,Central,55+,Other,Pro Plan,1
USR_00117,2023-11-11,Email,South,45-54,Female,Pro Plan,1
USR_00118,2023-10-06,TikTok,Central,18-24,Female,One-Time Purchase,1
USR_00119,2023-07-11,Email,North,45-54,Other,Basic Plan,1
USR_00120,2023-06-20,Meta_Facebook,North,55+,Other,Enterprise Plan,0
USR_00121,2023-09-03,Meta_Facebook,South,25-34,Male,One-Time Purchase,1
USR_00122,2023-01-19,Meta_Facebook,East,35-44,Male,Basic Plan,1
USR_00123,2023-07-08,TikTok,East,18-24,Male,One-Time Purchase,1
USR_00124,2023-08-17,TikTok,West,55+,Female,One-Time Purchase,0
USR_00125,2023-05-21,Google_Search,North,18-24,Female,Enterprise Plan,0
USR_00126,2023-02-09,TikTok,South,35-44,Female,One-Time Purchase,1
USR_00127,2023-09-13,TikTok,West,25-34,Other,Enterprise Plan,1
USR_00128,2023-08-20,Meta_Facebook,West,35-44,Female,Enterprise Plan,1
USR_00129,2023-11-23,Meta_Facebook,East,25-34,Female,Basic Plan,0
USR_00130,2023-10-22,Google_Search,South,35-44,Female,Basic Plan,1
USR_00131,2023-10-10,TikTok,South,18-24,Male,One-Time Purchase,1
USR_00132,2023-02-10,Email,South,55+,Female,Pro Plan,1
USR_00133,2023-10-31,TikTok,South,18-24,Male,Enterprise Plan,1
USR_00134,2023-12-17,Organic,East,25-34,Other,Basic Plan,0
USR_00135,2023-03-08,Email,Central,25-34,Female,Enterprise Plan,1
USR_00136,2023-05-08,Meta_Facebook,East,55+,Other,Pro Plan,0
USR_00137,2023-09-12,Google_Search,North,45-54,Female,One-Time Purchase,0
USR_00138,2023-02-25,Organic,South,45-54,Female,Enterprise Plan,1
USR_00139,2023-04-10,Email,Central,25-34,Male,Basic Plan,1
USR_00140,2023-11-16,TikTok,North,35-44,Male,Basic Plan,1
USR_00141,2023-09-23,Organic,South,18-24,Male,Enterprise Plan,1
USR_00142,2023-06-03,TikTok,East,55+,Female,Enterprise Plan,1
USR_00143,2023-10-26,Email,North,35-44,Female,Enterprise Plan,1
USR_00144,2023-03-29,TikTok,Central,55+,Male,Pro Plan,1
USR_00145,2023-11-10,Organic,North,25-34,Other,Pro Plan,1
USR_00146,2023-12-15,Email,Central,25-34,Other,Pro Plan,1
USR_00147,2023-06-02,Email,South,45-54,Other,Enterprise Plan,1
USR_00148,2023-04-20,Meta_Facebook,Central,35-44,Other,Enterprise Plan,1
USR_00149,2023-02-21,Meta_Facebook,North,55+,Other,One-Time Purchase,1
USR_00150,2023-05-28,Email,East,18-24,Male,Basic Plan,0
USR_00151,2023-01-20,Meta_Facebook,West,35-44,Female,Basic Plan,1
USR_00152,2023-05-29,Google_Search,North,45-54,Female,Basic Plan,1
USR_00153,2023-10-18,Meta_Facebook,South,55+,Male,One-Time Purchase,1
USR_00154,2023-07-27,TikTok,East,55+,Male,Enterprise Plan,1
USR_00155,2023-12-07,Meta_Facebook,South,55+,Male,One-Time Purchase,1
USR_00156,2023-09-24,Organic,North,55+,Other,One-Time Purchase,1
USR_00157,2023-07-22,Email,North,55+,Other,Basic Plan,1
USR_00158,2023-02-05,Organic,North,18-24,Male,One-Time Purchase,1
USR_00159,2023-04-25,Google_Search,North,35-44,Female,One-Time Purchase,1
USR_00160,2023-05-07,Organic,East,35-44,Male,Enterprise Plan,1
USR_00161,2023-08-03,TikTok,North,35-44,Male,Pro Plan,1
USR_00162,2023-01-25,Meta_Facebook,North,55+,Female,One-Time Purchase,0
USR_00163,2023-12-11,Email,South,25-34,Male,Pro Plan,1
USR_00164,2023-11-26,Organic,Central,25-34,Male,One-Time Purchase,1
USR_00165,2023-08-02,TikTok,Central,25-34,Female,One-Time Purchase,1
USR_00166,2023-07-09,Google_Search,Central,35-44,Male,Basic Plan,1
USR_00167,2023-04-07,TikTok,Central,35-44,Other,One-Time Purchase,0
USR_00168,2023-03-02,Organic,South,18-24,Male,One-Time Purchase,1
USR_00169,2023-10-16,Meta_Facebook,South,18-24,Female,Enterprise Plan,1
USR_00170,2023-08-02,Email,South,35-44,Male,Enterprise Plan,1
USR_00171,2023-12-17,Email,East,18-24,Female,One-Time Purchase,1
USR_00172,2023-01-31,TikTok,Central,18-24,Male,One-Time Purchase,1
USR_00173,2023-04-02,Google_Search,North,35-44,Female,Pro Plan,1
USR_00174,2023-02-10,Email,West,45-54,Female,Pro Plan,1
USR_00175,2023-11-29,Google_Search,North,18-24,Male,One-Time Purchase,0
USR_00176,2023-02-12,Organic,West,35-44,Other,Basic Plan,1
USR_00177,2023-04-02,Email,North,35-44,Female,Pro Plan,0
USR_00178,2023-03-13,Google_Search,Central,45-54,Other,Basic Plan,0
USR_00179,2023-11-11,TikTok,West,25-34,Other,Basic Plan,1
USR_00180,2023-07-12,Organic,South,35-44,Female,Basic Plan,1
USR_00181,2023-01-14,Google_Search,East,55+,Other,Enterprise Plan,1
USR_00182,2023-10-14,Meta_Facebook,Central,55+,Other,One-Time Purchase,1
USR_00183,2023-04-11,Organic,North,25-34,Female,Enterprise Plan,1
USR_00184,2023-06-18,Organic,East,35-44,Male,Pro Plan,1
USR_00185,2023-10-22,Meta_Facebook,East,45-54,Female,Enterprise Plan,1
USR_00186,2023-04-18,Organic,East,55+,Other,One-Time Purchase,1
USR_00187,2023-11-03,Organic,Central,18-24,Female,One-Time Purchase,1
USR_00188,2023-02-13,Google_Search,South,45-54,Other,Pro Plan,0
USR_00189,2023-06-19,Organic,North,55+,Male,Basic Plan,1
USR_00190,2023-10-13,TikTok,Central,18-24,Other,One-Time Purchase,1
USR_00191,2023-03-19,Email,North,25-34,Other,Basic Plan,1
USR_00192,2023-08-13,Organic,East,25-34,Other,Enterprise Plan,1
USR_00193,2023-12-13,Meta_Facebook,South,45-54,Other,Pro Plan,1
USR_00194,2023-04-06,Organic,West,45-54,Other,Pro Plan,1
USR_00195,2023-12-27,Meta_Facebook,South,25-34,Other,Basic Plan,1
USR_00196,2023-11-09,Organic,Central,45-54,Female,Enterprise Plan,0
USR_00197,2023-10-30,Google_Search,South,25-34,Other,Basic Plan,0
USR_00198,2023-10-03,Meta_Facebook,Central,55+,Other,One-Time Purchase,0
USR_00199,2023-09-16,Organic,West,25-34,Male,One-Time Purchase,1
USR_00200,2023-04-23,Email,North,35-44,Female,Pro Plan,1
USR_00201,2023-09-11,TikTok,Central,18-24,Male,Basic Plan,1
USR_00202,2023-01-22,Organic,Central,55+,Male,One-Time Purchase,1
USR_00203,2023-01-17,Organic,East,35-44,Female,Basic Plan,1
USR_00204,2023-10-29,Email,Central,25-34,Other,Pro Plan,0
USR_00205,2023-09-30,Email,Central,18-24,Other,Enterprise Plan,1
USR_00206,2023-09-21,Google_Search,South,25-34,Male,Basic Plan,1
USR_00207,2023-05-18,Organic,West,18-24,Other,Basic Plan,0
USR_00208,2023-07-08,Organic,West,35-44,Other,Basic Plan,1
USR_00209,2023-12-24,Email,North,55+,Female,Pro Plan,1
USR_00210,2023-06-22,TikTok,Central,35-44,Male,One-Time Purchase,0
USR_00211,2023-08-08,Meta_Facebook,South,18-24,Male,Pro Plan,1
USR_00212,2023-12-25,Meta_Facebook,West,18-24,Female,Basic Plan,1
USR_00213,2023-08-05,Meta_Facebook,West,25-34,Other,Pro Plan,1
USR_00214,2023-03-15,Google_Search,Central,35-44,Other,Pro Plan,1
USR_00215,2023-03-19,Organic,Central,25-34,Other,Pro Plan,0
USR_00216,2023-06-29,Organic,East,18-24,Female,Pro Plan,1
USR_00217,2023-11-08,Email,North,35-44,Other,Pro Plan,1
USR_00218,2023-10-19,Organic,East,25-34,Male,One-Time Purchase,1
USR_00219,2023-10-02,TikTok,Central,18-24,Female,Enterprise Plan,1
USR_00220,2023-02-14,Organic,North,35-44,Female,Basic Plan,1
USR_00221,2023-05-13,Meta_Facebook,East,45-54,Female,Enterprise Plan,1
USR_00222,2023-05-20,TikTok,North,18-24,Other,Basic Plan,1
USR_00223,2023-03-27,Email,South,35-44,Male,Basic Plan,1
USR_00224,2023-01-02,Google_Search,North,45-54,Female,Basic Plan,1
USR_00225,2024-01-01,Organic,South,25-34,Male,Pro Plan,1
USR_00226,2023-03-03,TikTok,North,45-54,Female,Pro Plan,1
USR_00227,2023-06-09,Email,North,45-54,Male,Basic Plan,1
USR_00228,2023-05-06,Meta_Facebook,North,55+,Other,Basic Plan,0
USR_00229,2023-01-01,Organic,East,55+,Other,Pro Plan,0
USR_00230,2023-03-14,Email,North,45-54,Female,Pro Plan,0
USR_00231,2023-07-10,Organic,North,55+,Other,Pro Plan,1
USR_00232,2023-07-21,Email,East,18-24,Male,Enterprise Plan,0
USR_00233,2023-06-17,Meta_Facebook,North,18-24,Female,Enterprise Plan,1
USR_00234,2023-03-31,Google_Search,West,25-34,Other,Pro Plan,1
USR_00235,2023-02-13,TikTok,Central,18-24,Male,Basic Plan,1
USR_00236,2023-02-17,Email,North,55+,Female,One-Time Purchase,1
USR_00237,2023-07-22,Organic,North,35-44,Female,One-Time Purchase,1
USR_00238,2023-10-09,Organic,North,45-54,Male,Enterprise Plan,1
USR_00239,2023-10-06,Organic,East,25-34,Other,One-Time Purchase,1
USR_00240,2023-03-23,Google_Search,South,25-34,Female,Enterprise Plan,1
USR_00241,2023-07-18,Email,South,35-44,Other,Pro Plan,1
USR_00242,2023-09-10,TikTok,East,25-34,Other,One-Time Purchase,1
USR_00243,2023-06-15,Google_Search,North,55+,Female,Pro Plan,1
USR_00244,2023-12-06,Organic,Central,18-24,Other,Enterprise Plan,1
USR_00245,2023-09-07,Email,South,35-44,Female,Pro Plan,1
USR_00246,2023-03-27,Google_Search,East,35-44,Male,Basic Plan,1
USR_00247,2023-07-31,Organic,West,45-54,Male,One-Time Purchase,1
USR_00248,2023-02-17,Email,Central,55+,Female,Basic Plan,1
USR_00249,2023-10-04,Email,East,45-54,Female,Pro Plan,1
USR_00250,2023-04-13,Google_Search,North,18-24,Other,Pro Plan,1
USR_00251,2023-08-30,Organic,East,25-34,Male,One-Time Purchase,0
USR_00252,2023-10-16,Google_Search,South,45-54,Male,Basic Plan,1
USR_00253,2023-07-18,TikTok,West,55+,Other,Pro Plan,0
USR_00254,2023-03-06,Google_Search,West,55+,Other,One-Time Purchase,0
USR_00255,2023-06-16,Email,Central,35-44,Female,Basic Plan,1
USR_00256,2023-02-21,Email,Central,55+,Male,One-Time Purchase,1
USR_00257,2023-01-11,Email,East,55+,Other,Enterprise Plan,1
USR_00258,2023-02-15,Meta_Facebook,West,25-34,Other,One-Time Purchase,1
USR_00259,2023-02-03,Email,Central,55+,Male,Pro Plan,1
USR_00260,2023-12-27,Meta_Facebook,East,55+,Male,One-Time Purchase,1
USR_00261,2023-12-13,Meta_Facebook,East,25-34,Female,Basic Plan,1
USR_00262,2023-11-04,Google_Search,South,18-24,Female,Enterprise Plan,1
USR_00263,2023-06-28,Organic,East,45-54,Other,One-Time Purchase,1
USR_00264,2023-01-04,TikTok,East,45-54,Female,Enterprise Plan,0
USR_00265,2023-05-22,Email,East,45-54,Other,Pro Plan,1
USR_00266,2023-12-15,Meta_Facebook,North,55+,Female,Enterprise Plan,1
USR_00267,2023-10-20,Meta_Facebook,East,35-44,Other,One-Time Purchase,1
USR_00268,2023-12-03,TikTok,South,45-54,Female,Basic Plan,1
USR_00269,2023-04-04,Email,North,55+,Female,Enterprise Plan,0
USR_00270,2023-11-14,Google_Search,West,35-44,Male,Basic Plan,1
USR_00271,2023-08-23,Meta_Facebook,East,25-34,Female,Basic Plan,1
USR_00272,2023-02-15,Meta_Facebook,Central,18-24,Female,One-Time Purchase,1
USR_00273,2023-02-22,Organic,Central,35-44,Other,Pro Plan,1
USR_00274,2023-11-02,TikTok,East,55+,Other,Pro Plan,1
USR_00275,2023-07-26,Google_Search,South,55+,Other,Pro Plan,0
USR_00276,2023-08-02,Organic,West,35-44,Other,Enterprise Plan,0
USR_00277,2023-11-15,TikTok,South,35-44,Male,Basic Plan,1
USR_00278,2023-09-12,Meta_Facebook,Central,35-44,Other,Enterprise Plan,0
USR_00279,2023-02-21,Email,South,25-34,Female,Enterprise Plan,0
USR_00280,2023-07-04,Email,West,35-44,Male,Basic Plan,1
USR_00281,2023-07-10,Email,South,55+,Other,One-Time Purchase,0
USR_00282,2023-11-29,Meta_Facebook,North,45-54,Female,Basic Plan,1
USR_00283,2023-08-14,Google_Search,North,25-34,Female,Enterprise Plan,0
USR_00284,2023-04-25,Email,Central,35-44,Female,One-Time Purchase,1
USR_00285,2023-09-11,Meta_Facebook,North,35-44,Other,Enterprise Plan,0
USR_00286,2023-07-13,Organic,South,35-44,Male,One-Time Purchase,0
USR_00287,2023-02-22,Organic,West,45-54,Other,Basic Plan,0
USR_00288,2023-06-05,TikTok,Central,25-34,Other,One-Time Purchase,1
USR_00289,2023-06-19,TikTok,Central,18-24,Other,Enterprise Plan,1
USR_00290,2023-01-24,Meta_Facebook,West,35-44,Other,One-Time Purchase,1
USR_00291,2023-07-21,Meta_Facebook,West,18-24,Male,Enterprise Plan,0
USR_00292,2023-04-01,TikTok,South,25-34,Male,Basic Plan,1
USR_00293,2023-08-03,TikTok,South,35-44,Other,One-Time Purchase,0
USR_00294,2023-04-13,Meta_Facebook,Central,25-34,Male,Enterprise Plan,1
USR_00295,2023-12-08,Organic,Central,25-34,Male,One-Time Purchase,1
USR_00296,2023-08-20,Google_Search,Central,55+,Other,One-Time Purchase,1
USR_00297,2023-07-18,Organic,East,35-44,Other,Basic Plan,1
USR_00298,2023-04-26,Email,Central,45-54,Female,Pro Plan,0
USR_00299,2023-09-21,Google_Search,West,55+,Male,One-Time Purchase,1
USR_00300,2023-10-27,Email,North,45-54,Other,One-Time Purchase,1
USR_00301,2023-11-17,TikTok,East,18-24,Other,Enterprise Plan,1
USR_00302,2023-09-24,Google_Search,Central,35-44,Male,One-Time Purchase,1
USR_00303,2023-12-06,Email,East,25-34,Female,Enterprise Plan,1
USR_00304,2023-11-29,Google_Search,North,18-24,Female,One-Time Purchase,1
USR_00305,2023-12-16,Email,West,45-54,Other,One-Time Purchase,1
USR_00306,2023-07-11,TikTok,Central,35-44,Other,One-Time Purchase,0
USR_00307,2023-12-26,Organic,North,45-54,Other,Basic Plan,0
USR_00308,2023-08-19,Organic,West,18-24,Female,Basic Plan,1
USR_00309,2023-12-05,Google_Search,West,35-44,Female,Pro Plan,0
USR_00310,2023-03-15,Email,East,18-24,Female,Pro Plan,1
USR_00311,2023-07-21,TikTok,Central,55+,Male,Enterprise Plan,0
USR_00312,2023-04-10,Google_Search,South,18-24,Other,One-Time Purchase,0
USR_00313,2023-02-04,Email,North,45-54,Female,One-Time Purchase,0
USR_00314,2023-06-06,TikTok,South,25-34,Female,Enterprise Plan,1
USR_00315,2023-12-31,Organic,East,18-24,Other,Pro Plan,1
USR_00316,2023-11-17,Google_Search,North,25-34,Female,Basic Plan,1
USR_00317,2023-04-19,Google_Search,Central,55+,Other,One-Time Purchase,1
USR_00318,2023-10-29,Email,South,18-24,Other,Basic Plan,1
USR_00319,2023-11-11,Meta_Facebook,Central,55+,Female,One-Time Purchase,0
USR_00320,2023-09-05,Email,North,45-54,Other,One-Time Purchase,1
USR_00321,2023-09-23,Email,West,55+,Female,One-Time Purchase,1
USR_00322,2023-09-24,Email,East,25-34,Male,One-Time Purchase,1
USR_00323,2023-06-26,Organic,West,35-44,Other,Pro Plan,1
USR_00324,2023-11-26,Email,South,55+,Male,Pro Plan,1
USR_00325,2023-01-23,Meta_Facebook,Central,45-54,Female,Pro Plan,1
USR_00326,2023-08-30,Organic,South,35-44,Other,One-Time Purchase,1
USR_00327,2023-05-16,Meta_Facebook,East,18-24,Male,Basic Plan,0
USR_00328,2023-11-04,Google_Search,Central,25-34,Female,Basic Plan,1
USR_00329,2023-12-14,Organic,Central,25-34,Other,Enterprise Plan,1
USR_00330,2023-09-04,Organic,East,45-54,Female,One-Time Purchase,1
USR_00331,2023-01-04,TikTok,Central,35-44,Other,Basic Plan,0
USR_00332,2023-10-02,Organic,Central,18-24,Female,Enterprise Plan,1
USR_00333,2023-10-13,Organic,South,45-54,Female,One-Time Purchase,1
USR_00334,2023-12-04,Google_Search,South,55+,Other,Pro Plan,1
USR_00335,2023-12-17,Google_Search,South,55+,Other,Basic Plan,1
USR_00336,2023-07-25,TikTok,Central,45-54,Female,Basic Plan,1
USR_00337,2023-12-12,Google_Search,East,35-44,Male,Basic Plan,1
USR_00338,2023-07-27,TikTok,South,55+,Other,Basic Plan,1
USR_00339,2023-10-14,TikTok,East,35-44,Male,Enterprise Plan,1
USR_00340,2023-07-13,TikTok,West,55+,Male,Enterprise Plan,1
USR_00341,2023-09-04,Google_Search,East,25-34,Other,One-Time Purchase,1
USR_00342,2023-07-31,Email,Central,45-54,Female,Enterprise Plan,1
USR_00343,2023-06-25,Google_Search,Central,55+,Other,One-Time Purchase,1
USR_00344,2023-12-16,Meta_Facebook,West,55+,Other,Pro Plan,1
USR_00345,2023-11-13,Email,South,55+,Female,Basic Plan,1
USR_00346,2023-09-10,TikTok,East,45-54,Female,Pro Plan,0
USR_00347,2023-03-07,Google_Search,Central,35-44,Female,One-Time Purchase,1
USR_00348,2023-03-31,Organic,North,55+,Male,Enterprise Plan,0
USR_00349,2023-06-16,Email,Central,18-24,Female,Pro Plan,1
USR_00350,2023-02-21,Email,South,35-44,Other,One-Time Purchase,1
USR_00351,2023-06-03,Email,Central,25-34,Other,One-Time Purchase,1
USR_00352,2023-05-11,Organic,North,25-34,Female,Enterprise Plan,0
USR_00353,2023-11-29,TikTok,South,45-54,Male,Enterprise Plan,1
USR_00354,2023-07-15,TikTok,East,45-54,Other,Pro Plan,1
USR_00355,2023-10-20,Organic,North,25-34,Other,Pro Plan,1
USR_00356,2023-11-06,Organic,East,55+,Female,Enterprise Plan,1
USR_00357,2023-03-09,TikTok,South,45-54,Female,Basic Plan,1
USR_00358,2023-10-04,Email,Central,35-44,Male,Pro Plan,1
USR_00359,2023-11-20,TikTok,West,25-34,Female,Enterprise Plan,0
USR_00360,2023-03-11,Email,East,45-54,Male,Basic Plan,1
USR_00361,2023-11-27,Organic,West,18-24,Male,Enterprise Plan,1
USR_00362,2023-12-17,Email,East,35-44,Other,One-Time Purchase,1
USR_00363,2023-07-10,Organic,North,45-54,Female,Basic Plan,1
USR_00364,2023-03-23,Google_Search,Central,35-44,Other,Enterprise Plan,1
USR_00365,2023-04-22,Google_Search,South,25-34,Other,Enterprise Plan,1
USR_00366,2023-01-05,Google_Search,Central,35-44,Other,Pro Plan,0
USR_00367,2023-12-26,TikTok,North,25-34,Male,One-Time Purchase,1
USR_00368,2023-08-13,Meta_Facebook,North,35-44,Female,Enterprise Plan,1
USR_00369,2023-10-05,Organic,South,45-54,Female,Enterprise Plan,1
USR_00370,2023-11-14,Meta_Facebook,East,25-34,Female,One-Time Purchase,1
USR_00371,2023-06-15,Organic,East,45-54,Female,Basic Plan,1
USR_00372,2023-04-14,Google_Search,West,45-54,Other,Basic Plan,1
USR_00373,2023-08-01,Email,North,35-44,Female,Basic Plan,1
