user_id,first_purchase_date,cohort_month
USR_00142,2023-06-03,2023-06
USR_00144,2023-03-29,2023-03
USR_00146,2023-12-15,2023-12
USR_00147,2023-07-09,2023-07
USR_00148,2023-05-25,2023-05
USR_00149,2023-02-21,2023-02
USR_00150,2023-05-28,2023-05
USR_00151,2023-01-20,2023-01
USR_00152,2023-05-29,2023-05
USR_00153,2023-10-18,2023-10
USR_00154,2023-07-27,2023-07
USR_00155,2023-12-07,2023-12
USR_00156,2023-11-12,2023-11
USR_00157,2023-07-22,2023-07
USR_00158,2023-02-05,2023-02
USR_00162,2023-01-25,2023-01
USR_00163,2024-01-19,2024-01
USR_00164,2023-11-26,2023-11
USR_00165,2023-08-02,2023-08
USR_00167,2023-04-07,2023-04
USR_00168,2023-04-15,2023-04
USR_00171,2024-04-24,2024-04
USR_00172,2023-02-20,2023-02
USR_00174,2023-02-10,2023-02
USR_00175,2023-11-29,2023-11
USR_00176,2023-02-12,2023-02
USR_00177,2023-04-26,2023-04
USR_00178,2023-03-13,2023-03
USR_00179,2023-11-11,2023-11
USR_00180,2023-07-12,2023-07
USR_00181,2023-01-14,2023-01
USR_00182,2023-10-14,2023-10
USR_00183,2023-04-11,2023-04
USR_00184,2023-08-07,2023-08
USR_00185,2023-10-22,2023-10
USR_00186,2023-04-18,2023-04
USR_00187,2023-11-03,2023-11
USR_00188,2023-02-13,2023-02
USR_00190,2023-10-13,2023-10
USR_00191,2023-03-19,2023-03
USR_00193,2023-12-13,2023-12
USR_00194,2023-04-06,2023-04
USR_00195,2024-02-05,2024-02
USR_00196,2023-11-09,2023-11
USR_00197,2023-10-30,2023-10
USR_00198,2023-10-03,2023-10
USR_00199,2023-09-16,2023-09
USR_00200,2023-04-23,2023-04
USR_00203,2023-01-17,2023-01
USR_00204,2023-10-29,2023-10
USR_00205,2023-09-30,2023-09
USR_00207,2023-05-18,2023-05
USR_00209,2023-12-24,2023-12
USR_00210,2023-07-14,2023-07
USR_00211,2023-08-08,2023-08
USR_00212,2023-12-25,2023-12
USR_00213,2023-08-31,2023-08
USR_00215,2023-03-19,2023-03
USR_00216,2023-06-29,2023-06
USR_00217,2023-12-23,2023-12
USR_00218,2023-10-19,2023-10
USR_00219,2023-10-02,2023-10
USR_00220,2023-03-17,2023-03
USR_00221,2023-05-13,2023-05
USR_00224,2023-01-02,2023-01
USR_00226,2023-03-03,2023-03
USR_00227,2023-06-09,2023-06
USR_00228,2023-05-06,2023-05
USR_00229,2023-01-01,2023-01
USR_00231,2023-07-10,2023-07
USR_00232,2023-07-21,2023-07
USR_00233,2023-06-17,2023-06
USR_00234,2023-03-31,2023-03
USR_00235,2023-02-13,2023-02
USR_00237,2023-07-22,2023-07
USR_00238,2023-10-09,2023-10
USR_00239,2023-10-06,2023-10
USR_00242,2023-09-10,2023-09
USR_00244,2023-12-06,2023-12
USR_00245,2023-09-07,2023-09
USR_00246,2023-03-27,2023-03
USR_00247,2023-07-31,2023-07
USR_00248,2023-04-05,2023-04
USR_00249,2023-10-04,2023-10
USR_00250,2023-04-13,2023-04
USR_00251,2023-08-30,2023-08
USR_00253,2023-07-18,2023-07
USR_00256,2023-04-20,2023-04
USR_00257,2023-02-14,2023-02
USR_00259,2023-03-06,2023-03
USR_00260,2024-01-17,2024-01
USR_00264,2023-01-04,2023-01
USR_00265,2023-05-22,2023-05
USR_00266,2023-12-15,2023-12
USR_00269,2023-04-04,2023-04
USR_00270,2023-11-14,2023-11
USR_00271,2023-10-22,2023-10
USR_00272,2023-02-15,2023-02
USR_00273,2023-02-22,2023-02
USR_00274,2023-11-02,2023-11
USR_00275,2023-07-26,2023-07
USR_00276,2023-08-02,2023-08
USR_00278,2023-09-12,2023-09
USR_00279,2023-02-21,2023-02
USR_00280,2023-07-04,2023-07
USR_00281,2023-07-10,2023-07
USR_00282,2023-11-29,2023-11
USR_00284,2023-04-25,2023-04
USR_00285,2023-09-11,2023-09
USR_00288,2023-06-05,2023-06
USR_00289,2023-06-19,2023-06
USR_00291,2023-07-21,2023-07
USR_00293,2023-08-03,2023-08
USR_00294,2023-04-13,2023-04
USR_00295,2024-01-21,2024-01
USR_00297,2023-07-18,2023-07
USR_00298,2023-04-26,2023-04
USR_00299,2023-09-21,2023-09
USR_00300,2023-10-27,2023-10
USR_00302,2023-09-24,2023-09
USR_00306,2023-10-31,2023-10
USR_00307,2023-12-26,2023-12
USR_00308,2023-08-19,2023-08
USR_00309,2023-12-05,2023-12
USR_00310,2023-03-15,2023-03
USR_00311,2023-08-23,2023-08
USR_00312,2023-04-10,2023-04
USR_00313,2023-02-04,2023-02
USR_00314,2023-06-06,2023-06
USR_00315,2023-12-31,2023-12
USR_00317,2023-04-19,2023-04
USR_00320,2023-09-05,2023-09
USR_00321,2023-09-23,2023-09
USR_00322,2023-09-24,2023-09
USR_00323,2023-06-26,2023-06
USR_00324,2023-12-30,2023-12
USR_00325,2023-01-23,2023-01
USR_00327,2023-05-16,2023-05
USR_00328,2023-11-04,2023-11
USR_00330,2023-09-04,2023-09
USR_00331,2023-01-04,2023-01
USR_00332,2023-10-02,2023-10
USR_00333,2023-10-13,2023-10
USR_00335,2023-12-17,2023-12
USR_00336,2023-07-25,2023-07
USR_00337,2023-12-12,2023-12
USR_00339,2023-10-14,2023-10
USR_00340,2023-07-13,2023-07
USR_00341,2023-09-04,2023-09
USR_00342,2023-07-31,2023-07
USR_00343,2023-06-25,2023-06
USR_00344,2023-12-16,2023-12
USR_00345,2024-01-11,2024-01
USR_00347,2023-03-07,2023-03
USR_00348,2023-03-31,2023-03
USR_00349,2023-06-16,2023-06
USR_00351,2023-06-03,2023-06
USR_00352,2023-05-11,2023-05
USR_00355,2023-10-20,2023-10
USR_00356,2023-12-06,2023-12
USR_00357,2023-03-09,2023-03
USR_00359,2023-11-20,2023-11
USR_00360,2023-03-11,2023-03
USR_00362,2023-12-17,2023-12
USR_00363,2023-07-10,2023-07
USR_00364,2023-03-23,2023-03
USR_00365,2023-04-22,2023-04
USR_00366,2023-01-05,2023-01
USR_00368,2023-08-13,2023-08
USR_00369,2023-10-05,2023-10
USR_00371,2023-06-15,2023-06
USR_00372,2023-06-04,2023-06
USR_00373,2023-08-01,2023-08
USR_00378,2023-02-28,2023-02
USR_00380,2023-06-03,2023-06
USR_00383,2023-10-22,2023-10
USR_00385,2023-09-26,2023-09
USR_00386,2023-08-24,2023-08
USR_00387,2023-05-28,2023-05
USR_00388,2023-12-22,2023-12
USR_00393,2023-05-24,2023-05
USR_00394,2023-11-10,2023-11
USR_00396,2023-03-02,2023-03
USR_00397,2023-11-23,2023-11
USR_00398,2023-04-26,2023-04
USR_00399,2023-04-14,2023-04
USR_00400,2023-09-30,2023-09
USR_00401,2023-07-22,2023-07
USR_00402,2024-01-11,2024-01
USR_00403,2023-05-11,2023-05
USR_00404,2023-09-19,2023-09
USR_00405,2023-11-08,2023-11
USR_00406,2023-06-02,2023-06
USR_00407,2023-05-26,2023-05
USR_00408,2023-08-25,2023-08
USR_00409,2023-07-01,2023-07
USR_00410,2023-01-01,2023-01
USR_00411,2023-02-05,2023-02
USR_00412,2023-11-18,2023-11
USR_00413,2023-07-01,2023-07
USR_00414,2023-07-19,2023-07
USR_00415,2023-04-21,2023-04
USR_00417,2023-08-24,2023-08
USR_00418,2023-01-12,2023-01
USR_00419,2023-12-10,2023-12
USR_00420,2023-03-29,2023-03
USR_00421,2023-11-19,2023-11
USR_00423,2023-02-06,2023-02
USR_00424,2023-08-11,2023-08
USR_00425,2023-02-28,2023-02
USR_00429,2023-02-01,2023-02
USR_00430,2023-01-16,2023-01
USR_00431,2023-03-20,2023-03
USR_00432,2023-05-09,2023-05
USR_00434,2023-10-04,2023-10
USR_00435,2023-09-20,2023-09
USR_00437,2023-07-05,2023-07
USR_00439,2023-01-17,2023-01
USR_00440,2023-11-23,2023-11
USR_00441,2023-03-16,2023-03
USR_00442,2023-06-11,2023-06
USR_00443,2023-07-20,2023-07
USR_00444,2023-02-04,2023-02
USR_00446,2023-04-05,2023-04
USR_00447,2023-12-21,2023-12
USR_00448,2023-05-13,2023-05
USR_00449,2023-02-25,2023-02
USR_00450,2023-03-18,2023-03
USR_00451,2023-01-02,2023-01
USR_00452,2023-11-28,2023-11
USR_00453,2023-07-16,2023-07
USR_00454,2023-11-11,2023-11
USR_00455,2023-11-13,2023-11
USR_00457,2023-03-12,2023-03
USR_00459,2023-11-20,2023-11
USR_00460,2023-12-28,2023-12
USR_00462,2023-03-13,2023-03
USR_00463,2023-01-23,2023-01
USR_00464,2023-03-05,2023-03
USR_00465,2023-07-18,2023-07
USR_00466,2023-07-20,2023-07
USR_00467,2023-08-11,2023-08
USR_00468,2023-02-12,2023-02
USR_00469,2023-07-09,2023-07
USR_00470,2023-05-14,2023-05
USR_00472,2024-02-01,2024-02
USR_00474,2023-08-23,2023-08
USR_00475,2023-06-25,2023-06
USR_00476,2023-04-27,2023-04
USR_00477,2024-03-06,2024-03
USR_00478,2023-06-26,2023-06
USR_00479,2023-08-23,2023-08
USR_00481,2023-03-01,2023-03
USR_00483,2023-07-21,2023-07
USR_00484,2023-04-01,2023-04
USR_00485,2023-09-09,2023-09
USR_00486,2023-09-09,2023-09
USR_00487,2023-11-22,2023-11
USR_00489,2023-03-15,2023-03
USR_00490,2023-12-31,2023-12
USR_00492,2023-04-27,2023-04
USR_00493,2023-09-20,2023-09
USR_00494,2023-03-05,2023-03
USR_00495,2023-08-20,2023-08
USR_00496,2023-02-20,2023-02
USR_00497,2023-06-10,2023-06
USR_00498,2023-04-01,2023-04
USR_00499,2023-09-01,2023-09
USR_00500,2024-01-30,2024-01
USR_00501,2023-12-16,2023-12
USR_00502,2023-03-10,2023-03
USR_00505,2023-03-02,2023-03
USR_00506,2023-06-05,2023-06
USR_00507,2023-12-04,2023-12
USR_00508,2024-01-01,2024-01
USR_00509,2023-08-04,2023-08
USR_00511,2023-03-22,2023-03
USR_00512,2023-06-10,2023-06
USR_00513,2024-03-10,2024-03
USR_00514,2023-07-30,2023-07
USR_00515,2023-05-01,2023-05
USR_00516,2023-05-20,2023-05
USR_00517,2023-01-29,2023-01
USR_00518,2023-10-25,2023-10
USR_00519,2023-07-19,2023-07
USR_00520,2023-09-01,2023-09
USR_00521,2023-11-07,2023-11
USR_00522,2023-12-17,2023-12
USR_00524,2023-09-09,2023-09
USR_00525,2023-01-15,2023-01
USR_00526,2023-02-26,2023-02
USR_00527,2023-01-12,2023-01
USR_00528,2023-03-02,2023-03
USR_00529,2023-11-04,2023-11
USR_00530,2023-12-29,2023-12
USR_00531,2023-10-14,2023-10
USR_00532,2023-05-24,2023-05
USR_00533,2023-06-11,2023-06
USR_00534,2024-02-10,2024-02
USR_00535,2023-12-06,2023-12
USR_00537,2023-07-11,2023-07
USR_00538,2023-06-16,2023-06
USR_00540,2023-09-01,2023-09
USR_00542,2023-09-27,2023-09
USR_00543,2023-07-25,2023-07
USR_00545,2023-01-24,2023-01
USR_00546,2023-06-11,2023-06
USR_00547,2023-09-04,2023-09
USR_00549,2023-03-17,2023-03
USR_00550,2023-08-16,2023-08
USR_00552,2023-09-11,2023-09
USR_00554,2024-01-14,2024-01
USR_00555,2023-04-29,2023-04
USR_00556,2024-01-30,2024-01
USR_00557,2023-07-02,2023-07
USR_00558,2023-03-03,2023-03
USR_00559,2023-08-13,2023-08
USR_00560,2023-04-16,2023-04
USR_00561,2023-06-21,2023-06
USR_00562,2023-05-06,2023-05
USR_00563,2023-10-16,2023-10
USR_00567,2023-05-26,2023-05
USR_00568,2023-05-04,2023-05
USR_00570,2024-02-19,2024-02
USR_00571,2023-09-01,2023-09
USR_00572,2023-05-16,2023-05
USR_00574,2023-02-26,2023-02
USR_00576,2023-03-18,2023-03
USR_00579,2023-12-04,2023-12
USR_00580,2023-10-24,2023-10
USR_00581,2023-03-20,2023-03
USR_00582,2023-04-09,2023-04
USR_00584,2023-08-17,2023-08
USR_00586,2023-06-19,2023-06
USR_00589,2023-01-27,2023-01
USR_00590,2023-05-11,2023-05
USR_00591,2023-09-10,2023-09
USR_00592,2023-01-12,2023-01
USR_00593,2023-06-15,2023-06
USR_00594,2023-04-25,2023-04
USR_00595,2023-01-13,2023-01
USR_00596,2023-01-15,2023-01
USR_00600,2023-12-04,2023-12
USR_00601,2023-07-01,2023-07
USR_00605,2023-06-19,2023-06
USR_00607,2023-06-06,2023-06
USR_00608,2023-05-03,2023-05
USR_00610,2023-10-02,2023-10
USR_00612,2024-01-13,2024-01
USR_00613,2023-07-13,2023-07
USR_00614,2023-02-12,2023-02
USR_00615,2023-06-04,2023-06
USR_00616,2023-12-13,2023-12
USR_00617,2023-08-08,2023-08
USR_00618,2023-06-06,2023-06
USR_00619,2023-11-05,2023-11
USR_00620,2023-09-26,2023-09
USR_00621,2023-07-20,2023-07
USR_00622,2023-07-27,2023-07
USR_00623,2023-09-27,2023-09
USR_00624,2023-08-22,2023-08
USR_00625,2023-04-22,2023-04
USR_00626,2023-02-07,2023-02
USR_00627,2023-04-28,2023-04
USR_00629,2023-05-08,2023-05
USR_00631,2023-04-08,2023-04
USR_00634,2023-01-07,2023-01
USR_00635,2023-07-12,2023-07
USR_00637,2023-07-15,2023-07
USR_00638,2023-04-15,2023-04
USR_00639,2023-08-18,2023-08
USR_00640,2023-10-11,2023-10
USR_00641,2023-06-07,2023-06
USR_00642,2023-07-08,2023-07
USR_00643,2023-02-14,2023-02
USR_00644,2023-02-11,2023-02
USR_00646,2023-06-26,2023-06
USR_00648,2023-07-29,2023-07
USR_00649,2023-02-21,2023-02
USR_00650,2023-07-12,2023-07
USR_00651,2023-12-24,2023-12
USR_00652,2023-07-08,2023-07
USR_00653,2023-06-11,2023-06
USR_00656,2023-07-13,2023-07
USR_00657,2023-07-14,2023-07
USR_00658,2023-02-24,2023-02
USR_00659,2023-03-17,2023-03
USR_00660,2023-05-17,2023-05
USR_00661,2023-03-25,2023-03
USR_00662,2023-01-05,2023-01
USR_00663,2023-11-29,2023-11
USR_00664,2023-12-10,2023-12
USR_00666,2023-02-20,2023-02
USR_00667,2023-09-29,2023-09
USR_00668,2023-10-22,2023-10
USR_00669,2023-06-03,2023-06
USR_00670,2023-06-30,2023-06
USR_00671,2023-08-06,2023-08
USR_00672,2023-10-16,2023-10
USR_00673,2023-06-18,2023-06
USR_00674,2023-06-06,2023-06
USR_00675,2023-12-14,2023-12
USR_00677,2023-09-19,2023-09
USR_00678,2023-11-21,2023-11
USR_00681,2023-04-26,2023-04
USR_00682,2023-04-22,2023-04
USR_00683,2023-01-04,2023-01
USR_00684,2023-05-09,2023-05
USR_00685,2023-12-03,2023-12
USR_00686,2023-05-19,2023-05
USR_00687,2023-05-29,2023-05
USR_00688,2023-09-06,2023-09
USR_00689,2023-08-07,2023-08
USR_00690,2023-04-29,2023-04
USR_00691,2023-09-09,2023-09
USR_00692,2023-11-05,2023-11
USR_00695,2023-09-05,2023-09
USR_00696,2023-04-22,2023-04
USR_00697,2023-03-29,2023-03
USR_00698,2023-03-08,2023-03
USR_00699,2023-06-16,2023-06
USR_00700,2023-11-21,2023-11
USR_00701,2023-07-22,2023-07
USR_00702,2023-02-21,2023-02
USR_00705,2023-11-18,2023-11
USR_00706,2023-08-01,2023-08
USR_00707,2023-07-04,2023-07
USR_00708,2023-12-05,2023-12
USR_00709,2023-02-27,2023-02
USR_00711,2023-05-01,2023-05
USR_00714,2023-12-06,2023-12
USR_00715,2024-01-31,2024-01
USR_00716,2023-09-14,2023-09
USR_00718,2023-08-28,2023-08
USR_00719,2023-06-08,2023-06
USR_00720,2023-09-05,2023-09
USR_00722,2023-12-15,2023-12
USR_00724,2023-09-12,2023-09
USR_00725,2023-05-12,2023-05
USR_00726,2023-03-08,2023-03
USR_00728,2023-02-23,2023-02
USR_00729,2023-07-23,2023-07
USR_00730,2023-09-01,2023-09
USR_00732,2023-05-06,2023-05
USR_00733,2023-09-29,2023-09
USR_00736,2023-01-09,2023-01
USR_00737,2023-08-23,2023-08
USR_00738,2023-12-26,2023-12
USR_00740,2023-03-05,2023-03
USR_00742,2023-11-04,2023-11
USR_00743,2023-10-23,2023-10
USR_00744,2023-10-11,2023-10
USR_00746,2023-12-31,2023-12
USR_00747,2023-02-17,2023-02
USR_00750,2023-10-02,2023-10
USR_00751,2023-08-28,2023-08
USR_00753,2023-10-18,2023-10
USR_00754,2023-08-08,2023-08
USR_00755,2023-06-14,2023-06
USR_00756,2023-11-08,2023-11
USR_00757,2023-09-13,2023-09
USR_00758,2023-05-26,2023-05
USR_00759,2023-02-18,2023-02
USR_00760,2023-11-13,2023-11
USR_00761,2023-01-27,2023-01
USR_00762,2023-07-14,2023-07
USR_00763,2023-12-09,2023-12
USR_00764,2023-05-05,2023-05
USR_00766,2023-12-02,2023-12
USR_00767,2023-12-18,2023-12
USR_00768,2023-09-29,2023-09
USR_00769,2023-11-01,2023-11
USR_00770,2023-05-22,2023-05
USR_00771,2023-12-19,2023-12
USR_00772,2023-08-08,2023-08
USR_00774,2023-10-07,2023-10
USR_00776,2023-06-05,2023-06
USR_00777,2023-12-14,2023-12
USR_00778,2023-03-04,2023-03
USR_00780,2024-01-01,2024-01
USR_00782,2023-04-13,2023-04
USR_00783,2023-06-10,2023-06
USR_00785,2023-10-17,2023-10
USR_00786,2023-02-13,2023-02
USR_00788,2023-03-11,2023-03
USR_00789,2023-02-28,2023-02
USR_00791,2023-12-03,2023-12
USR_00792,2023-08-06,2023-08
USR_00793,2023-02-02,2023-02
USR_00795,2023-02-04,2023-02
USR_00796,2023-03-31,2023-03
USR_00797,2023-02-25,2023-02
USR_00798,2023-11-19,2023-11
USR_00799,2023-12-08,2023-12
USR_00800,2023-10-14,2023-10
USR_00802,2023-05-29,2023-05
USR_00803,2023-11-19,2023-11
USR_00806,2023-06-29,2023-06
USR_00807,2023-07-14,2023-07
USR_00808,2023-10-09,2023-10
USR_00809,2023-10-02,2023-10
USR_00811,2023-03-08,2023-03
USR_00813,2023-12-28,2023-12
USR_00814,2023-12-24,2023-12
USR_00815,2023-01-10,2023-01
USR_00818,2023-09-23,2023-09
USR_00819,2023-05-21,2023-05
USR_00820,2023-06-14,2023-06
USR_00821,2023-02-02,2023-02
USR_00822,2023-10-24,2023-10
USR_00825,2023-03-24,2023-03
USR_00826,2023-10-18,2023-10
USR_00828,2023-05-18,2023-05
USR_00830,2023-11-06,2023-11
USR_00831,2023-12-07,2023-12
USR_00832,2023-02-03,2023-02
USR_00833,2023-09-06,2023-09
USR_00835,2023-08-07,2023-08
USR_00836,2023-01-21,2023-01
USR_00837,2023-10-20,2023-10
USR_00838,2023-02-10,2023-02
USR_00840,2023-11-17,2023-11
USR_00842,2023-05-01,2023-05
USR_00843,2023-07-20,2023-07
USR_00844,2023-06-16,2023-06
USR_00845,2023-12-27,2023-12
USR_00847,2023-08-05,2023-08
USR_00848,2023-06-20,2023-06
USR_00849,2023-07-22,2023-07
USR_00850,2023-01-19,2023-01
USR_00852,2023-06-09,2023-06
USR_00853,2023-12-02,2023-12
USR_00854,2024-01-01,2024-01
USR_00855,2023-11-26,2023-11
USR_00856,2023-01-31,2023-01
USR_00858,2023-09-21,2023-09
USR_00859,2023-10-18,2023-10
USR_00860,2023-11-11,2023-11
USR_00862,2023-04-09,2023-04
USR_00863,2023-04-14,2023-04
USR_00864,2023-08-31,2023-08
USR_00865,2023-03-17,2023-03
USR_00866,2023-07-13,2023-07
USR_00867,2023-03-27,2023-03
USR_00869,2023-09-23,2023-09
USR_00871,2023-12-27,2023-12
USR_00872,2023-08-21,2023-08
USR_00873,2023-05-11,2023-05
USR_00875,2023-05-17,2023-05
USR_00876,2023-12-23,2023-12
USR_00877,2023-06-13,2023-06
USR_00878,2023-05-13,2023-05
USR_00879,2023-11-05,2023-11
USR_00880,2023-06-15,2023-06
USR_00881,2023-12-22,2023-12
USR_00882,2023-06-03,2023-06
USR_00883,2023-04-12,2023-04
USR_00884,2023-08-23,2023-08
USR_00885,2023-07-21,2023-07
USR_00887,2023-10-28,2023-10
USR_00888,2023-07-23,2023-07
USR_00889,2023-02-24,2023-02
USR_00890,2023-01-28,2023-01
USR_00891,2023-10-01,2023-10
USR_00892,2023-01-26,2023-01
USR_00893,2023-11-02,2023-11
USR_00894,2023-03-06,2023-03
USR_00895,2023-09-26,2023-09
USR_00897,2023-03-24,2023-03
USR_00898,2023-11-03,2023-11
USR_00899,2023-10-13,2023-10
USR_00902,2023-05-26,2023-05
USR_00904,2023-12-07,2023-12
USR_00905,2023-08-19,2023-08
USR_00908,2023-05-07,2023-05
USR_00909,2023-05-04,2023-05
USR_00910,2023-08-07,2023-08
USR_00911,2023-10-24,2023-10
USR_00913,2023-03-13,2023-03
USR_00914,2023-03-21,2023-03
USR_00915,2023-11-13,2023-11
USR_00916,2023-09-04,2023-09
USR_00918,2023-12-14,2023-12
USR_00919,2023-01-27,2023-01
USR_00920,2023-02-27,2023-02
USR_00922,2023-09-15,2023-09
USR_00923,2023-08-15,2023-08
USR_00925,2023-08-31,2023-08
USR_00926,2023-07-21,2023-07
USR_00927,2023-01-10,2023-01
USR_00928,2023-02-19,2023-02
USR_00930,2023-12-20,2023-12
USR_00931,2023-12-13,2023-12
USR_00932,2023-09-07,2023-09
USR_00934,2023-02-27,2023-02
USR_00936,2023-08-10,2023-08
USR_00937,2023-12-01,2023-12
USR_00938,2023-04-28,2023-04
USR_00940,2023-09-17,2023-09
USR_00941,2023-07-04,2023-07
USR_00943,2023-07-19,2023-07
USR_00944,2023-04-18,2023-04
USR_00945,2023-07-11,2023-07
USR_00946,2023-03-15,2023-03
USR_00947,2023-11-05,2023-11
USR_00948,2023-07-26,2023-07
USR_00950,2023-04-12,2023-04
USR_00951,2023-04-20,2023-04
USR_00952,2023-12-09,2023-12
USR_00953,2023-07-01,2023-07
USR_00954,2023-05-23,2023-05
USR_00955,2023-05-05,2023-05
USR_00956,2023-03-19,2023-03
USR_00957,2023-02-06,2023-02
USR_00958,2023-08-27,2023-08
USR_00959,2023-11-05,2023-11
USR_00960,2023-08-03,2023-08
USR_00961,2023-09-07,2023-09
USR_00962,2023-03-02,2023-03
USR_00963,2023-10-21,2023-10
USR_00964,2023-05-10,2023-05
USR_00966,2023-02-21,2023-02
USR_00968,2023-03-16,2023-03
USR_00969,2023-02-12,2023-02
USR_00971,2023-07-18,2023-07
USR_00972,2023-12-26,2023-12
USR_00973,2023-01-30,2023-01
USR_00975,2023-10-28,2023-10
USR_00976,2023-09-29,2023-09
USR_00978,2023-07-15,2023-07
USR_00979,2023-09-13,2023-09
USR_00980,2023-06-06,2023-06
USR_00982,2023-12-04,2023-12
USR_00983,2023-10-27,2023-10
USR_00984,2023-05-30,2023-05
USR_00988,2023-01-03,2023-01
USR_00989,2023-11-17,2023-11
USR_00990,2023-07-22,2023-07
USR_00991,2023-04-22,2023-04
USR_00992,2023-12-22,2023-12
USR_00993,2023-09-15,2023-09
USR_00994,2023-11-03,2023-11
USR_00995,2023-06-12,2023-06
USR_00996,2023-06-14,2023-06
USR_00997,2023-07-17,2023-07
USR_00998,2023-02-25,2023-02
USR_00999,2023-08-16,2023-08
USR_01000,2023-11-16,2023-11
USR_01002,2023-12-13,2023-12
USR_01003,2023-07-02,2023-07
USR_01005,2023-05-08,2023-05
USR_01006,2023-07-09,2023-07
USR_01008,2023-04-09,2023-04
USR_01009,2023-05-03,2023-05
USR_01010,2023-06-20,2023-06
USR_01012,2023-03-09,2023-03
USR_01013,2023-06-13,2023-06
USR_01014,2023-04-01,2023-04
USR_01015,2023-06-24,2023-06
USR_01016,2023-01-29,2023-01
