transaction_id,user_id,purchase_date,amount_inr,product,status,acquisition_channel,region,device,cohort_month,month
TXN_989545,USR_00035,2024-02-08,535.03,One-Time Purchase,completed,Organic,West,mobile,2024-02,2024-02
TXN_571932,USR_00036,2023-09-16,2614.48,Pro Plan,completed,Organic,Central,desktop,2023-09,2023-09
TXN_501641,USR_00037,2023-06-28,568.19,Basic Plan,completed,TikTok,West,tablet,2023-06,2023-06
TXN_973349,USR_00038,2023-02-02,2253.14,One-Time Purchase,completed,Organic,West,desktop,2023-02,2023-02
TXN_413118,USR_00039,2023-10-27,326.71,One-Time Purchase,completed,Google_Search,Central,desktop,2023-10,2023-10
TXN_557007,USR_00039,2023-12-12,2231.34,Pro Plan,completed,Google_Search,Central,desktop,2023-10,2023-12
TXN_497519,USR_00041,2023-01-14,1153.13,One-Time Purchase,completed,Google_Search,West,desktop,2023-01,2023-01
TXN_391773,USR_00041,2023-02-16,8805.15,Enterprise Plan,completed,Google_Search,West,desktop,2023-01,2023-02
TXN_919182,USR_00042,2023-08-29,6120.11,Enterprise Plan,completed,Google_Search,Central,tablet,2023-08,2023-08
TXN_232352,USR_00043,2023-01-21,809.67,Basic Plan,completed,Google_Search,South,desktop,2023-01,2023-01
TXN_971084,USR_00048,2023-10-03,6610.52,Enterprise Plan,completed,Organic,West,mobile,2023-10,2023-10
TXN_290672,USR_00049,2023-05-05,5142.5,Enterprise Plan,completed,Organic,Central,desktop,2023-05,2023-05
TXN_524045,USR_00050,2023-12-20,545.53,Basic Plan,completed,Organic,West,tablet,2023-12,2023-12
TXN_341736,USR_00050,2024-03-19,1572.31,One-Time Purchase,completed,Organic,West,mobile,2023-12,2024-03
TXN_338533,USR_00051,2023-11-29,915.31,Basic Plan,completed,Meta_Facebook,South,desktop,2023-11,2023-11
TXN_680238,USR_00051,2023-12-30,1910.47,Pro Plan,completed,Meta_Facebook,South,desktop,2023-11,2023-12
TXN_293319,USR_00052,2023-09-09,2548.96,One-Time Purchase,completed,Google_Search,North,mobile,2023-09,2023-09
TXN_224205,USR_00053,2023-10-01,5424.9,Enterprise Plan,completed,Google_Search,North,tablet,2023-10,2023-10
TXN_717113,USR_00054,2023-11-13,4568.97,One-Time Purchase,completed,Meta_Facebook,Central,desktop,2023-11,2023-11
TXN_264686,USR_00055,2023-01-31,1895.97,Pro Plan,completed,TikTok,North,mobile,2023-01,2023-01
TXN_402099,USR_00056,2023-03-22,1667.92,One-Time Purchase,completed,Google_Search,West,tablet,2023-03,2023-03
TXN_624783,USR_00058,2023-04-10,8497.67,Enterprise Plan,completed,Google_Search,North,tablet,2023-04,2023-04
TXN_807053,USR_00059,2023-11-03,5128.32,Enterprise Plan,completed,Google_Search,West,tablet,2023-11,2023-11
TXN_449499,USR_00061,2023-04-03,734.01,Basic Plan,completed,TikTok,West,desktop,2023-04,2023-04
TXN_639593,USR_00062,2023-07-13,5578.61,Enterprise Plan,completed,Organic,West,mobile,2023-07,2023-07
TXN_313446,USR_00063,2023-01-28,3238.42,One-Time Purchase,completed,Meta_Facebook,Central,desktop,2023-01,2023-01
TXN_335615,USR_00064,2023-11-08,775.13,Basic Plan,completed,Meta_Facebook,South,mobile,2023-11,2023-11
TXN_595158,USR_00065,2023-11-28,7076.45,Enterprise Plan,completed,Meta_Facebook,West,mobile,2023-11,2023-11
TXN_456385,USR_00066,2023-07-16,637.12,Basic Plan,completed,Meta_Facebook,Central,tablet,2023-07,2023-07
TXN_461888,USR_00067,2023-05-25,2168.82,Pro Plan,completed,Email,Central,desktop,2023-05,2023-05
TXN_997594,USR_00068,2023-07-13,2356.7,Pro Plan,completed,Organic,East,desktop,2023-07,2023-07
TXN_504832,USR_00068,2023-08-04,3613.57,One-Time Purchase,completed,Organic,East,tablet,2023-07,2023-08
TXN_204555,USR_00069,2023-01-19,936.1,Basic Plan,completed,Meta_Facebook,Central,tablet,2023-01,2023-01
TXN_338536,USR_00071,2023-09-07,2445.74,Pro Plan,completed,TikTok,North,tablet,2023-09,2023-09
TXN_475876,USR_00072,2023-03-27,8979.72,Enterprise Plan,completed,Email,North,desktop,2023-03,2023-03
TXN_739098,USR_00073,2023-08-09,1753.98,Pro Plan,completed,Meta_Facebook,South,desktop,2023-08,2023-08
TXN_367729,USR_00074,2023-09-12,3297.15,One-Time Purchase,completed,TikTok,South,tablet,2023-09,2023-09
TXN_716113,USR_00075,2023-08-27,719.86,Basic Plan,completed,Email,Central,desktop,2023-08,2023-08
TXN_211834,USR_00076,2023-12-20,2998.06,Pro Plan,completed,Email,West,mobile,2023-12,2023-12
TXN_329642,USR_00078,2023-01-26,2409.6,Pro Plan,completed,TikTok,West,tablet,2023-01,2023-01
TXN_707727,USR_00079,2023-12-14,8942.05,Enterprise Plan,completed,Meta_Facebook,North,desktop,2023-12,2023-12
TXN_924718,USR_00080,2023-03-09,1124.51,One-Time Purchase,completed,Google_Search,East,tablet,2023-03,2023-03
TXN_964749,USR_00080,2023-04-21,9151.36,Enterprise Plan,completed,Google_Search,East,desktop,2023-03,2023-04
TXN_809176,USR_00081,2023-06-23,2630.23,Pro Plan,completed,Google_Search,West,tablet,2023-06,2023-06
TXN_576877,USR_00082,2023-10-13,631.23,Basic Plan,completed,Email,North,desktop,2023-10,2023-10
TXN_419149,USR_00084,2023-11-22,568.89,Basic Plan,completed,Organic,East,desktop,2023-11,2023-11
TXN_803055,USR_00084,2023-12-19,2081.97,Pro Plan,completed,Organic,East,tablet,2023-11,2023-12
TXN_134305,USR_00085,2023-03-21,4712.55,One-Time Purchase,completed,Organic,North,tablet,2023-03,2023-03
TXN_204180,USR_00085,2023-05-03,4766.61,One-Time Purchase,completed,Organic,North,tablet,2023-03,2023-05
TXN_989227,USR_00086,2023-11-27,5948.04,Enterprise Plan,completed,Email,North,desktop,2023-11,2023-11
TXN_925206,USR_00087,2023-11-25,6216.84,Enterprise Plan,completed,TikTok,North,tablet,2023-11,2023-11
TXN_444519,USR_00088,2023-04-16,2718.58,Pro Plan,completed,Google_Search,Central,mobile,2023-04,2023-04
TXN_282710,USR_00089,2023-01-14,2382.28,Pro Plan,completed,Meta_Facebook,North,desktop,2023-01,2023-01
TXN_862569,USR_00090,2023-09-20,2917.12,Pro Plan,completed,TikTok,North,tablet,2023-09,2023-09
TXN_988456,USR_00090,2023-11-12,529.41,Basic Plan,completed,TikTok,North,desktop,2023-09,2023-11
TXN_232321,USR_00091,2023-09-09,8040.49,Enterprise Plan,completed,Organic,North,desktop,2023-09,2023-09
TXN_203996,USR_00092,2023-10-08,2675.09,One-Time Purchase,completed,Email,West,tablet,2023-10,2023-10
TXN_455395,USR_00093,2023-11-30,4473.03,One-Time Purchase,completed,TikTok,South,desktop,2023-11,2023-11
TXN_797416,USR_00093,2024-01-14,655.27,Basic Plan,completed,TikTok,South,desktop,2023-11,2024-01
TXN_880758,USR_00094,2023-12-18,545.62,Basic Plan,completed,Organic,North,tablet,2023-12,2023-12
TXN_335137,USR_00096,2023-11-04,1731.1,Pro Plan,completed,Email,East,mobile,2023-11,2023-11
TXN_836833,USR_00097,2023-09-01,5143.77,Enterprise Plan,completed,Google_Search,East,desktop,2023-09,2023-09
TXN_914571,USR_00098,2023-08-03,6557.19,Enterprise Plan,completed,Organic,East,tablet,2023-08,2023-08
TXN_534303,USR_00098,2023-10-25,2581.61,One-Time Purchase,completed,Organic,East,desktop,2023-08,2023-10
TXN_728437,USR_00099,2023-06-11,5226.09,Enterprise Plan,completed,TikTok,North,mobile,2023-06,2023-06
TXN_403507,USR_00099,2023-07-01,2650.02,Pro Plan,completed,TikTok,North,desktop,2023-06,2023-07
TXN_658453,USR_00099,2023-07-28,1124.77,One-Time Purchase,completed,TikTok,North,tablet,2023-06,2023-07
TXN_181644,USR_00100,2023-12-09,717.11,Basic Plan,completed,Email,North,desktop,2023-12,2023-12
TXN_403578,USR_00100,2024-02-03,3633.65,One-Time Purchase,completed,Email,North,mobile,2023-12,2024-02
TXN_563688,USR_00102,2023-10-17,2158.64,Pro Plan,completed,TikTok,East,tablet,2023-10,2023-10
TXN_159653,USR_00103,2023-10-30,7307.71,Enterprise Plan,completed,Google_Search,East,desktop,2023-10,2023-10
TXN_625721,USR_00104,2023-10-25,1981.29,Pro Plan,completed,TikTok,North,mobile,2023-10,2023-10
TXN_629057,USR_00104,2023-11-17,9910.93,Enterprise Plan,completed,TikTok,North,tablet,2023-10,2023-11
TXN_774751,USR_00106,2023-08-04,653.79,Basic Plan,completed,Google_Search,Central,desktop,2023-08,2023-08
TXN_289019,USR_00107,2023-12-17,5090.15,Enterprise Plan,completed,TikTok,North,mobile,2023-12,2023-12
TXN_632351,USR_00108,2023-09-06,1614.75,Pro Plan,completed,Meta_Facebook,South,tablet,2023-09,2023-09
TXN_975679,USR_00109,2023-09-30,1963.2,Pro Plan,completed,Google_Search,West,mobile,2023-09,2023-09
TXN_269930,USR_00110,2023-10-20,2662.66,One-Time Purchase,completed,Organic,West,mobile,2023-10,2023-10
TXN_489244,USR_00110,2023-12-17,5259.9,Enterprise Plan,completed,Organic,West,tablet,2023-10,2023-12
TXN_979940,USR_00113,2023-07-17,658.34,Basic Plan,completed,Google_Search,East,tablet,2023-07,2023-07
TXN_570392,USR_00114,2023-03-12,2637.26,Pro Plan,completed,Google_Search,East,tablet,2023-03,2023-03
TXN_349183,USR_00115,2023-01-10,821.58,One-Time Purchase,completed,Email,South,desktop,2023-01,2023-01
TXN_550089,USR_00116,2023-09-13,2576.82,Pro Plan,completed,TikTok,Central,mobile,2023-09,2023-09
TXN_648913,USR_00117,2023-11-11,2495.56,Pro Plan,completed,Email,South,desktop,2023-11,2023-11
TXN_766549,USR_00118,2023-10-06,4403.66,One-Time Purchase,completed,TikTok,Central,desktop,2023-10,2023-10
TXN_970720,USR_00120,2023-06-20,9066.54,Enterprise Plan,completed,Meta_Facebook,North,tablet,2023-06,2023-06
TXN_145934,USR_00121,2023-09-03,472.82,One-Time Purchase,completed,Meta_Facebook,South,mobile,2023-09,2023-09
TXN_386488,USR_00122,2023-01-19,931.9,Basic Plan,completed,Meta_Facebook,East,mobile,2023-01,2023-01
TXN_455505,USR_00122,2023-03-03,3792.55,One-Time Purchase,completed,Meta_Facebook,East,mobile,2023-01,2023-03
TXN_862120,USR_00124,2023-08-17,1951.27,One-Time Purchase,completed,TikTok,West,desktop,2023-08,2023-08
TXN_347459,USR_00125,2023-06-11,462.56,One-Time Purchase,completed,Google_Search,North,tablet,2023-06,2023-06
TXN_361736,USR_00126,2023-02-09,1776.61,One-Time Purchase,completed,TikTok,South,mobile,2023-02,2023-02
TXN_994253,USR_00127,2023-11-11,1239.84,One-Time Purchase,completed,TikTok,West,mobile,2023-11,2023-11
TXN_348235,USR_00129,2023-11-23,991.57,Basic Plan,completed,Meta_Facebook,East,desktop,2023-11,2023-11
TXN_971776,USR_00131,2023-10-10,2662.46,One-Time Purchase,completed,TikTok,South,mobile,2023-10,2023-10
TXN_606404,USR_00133,2024-01-24,8208.54,Enterprise Plan,completed,TikTok,South,mobile,2024-01,2024-01
TXN_560959,USR_00134,2023-12-17,843.31,Basic Plan,completed,Organic,East,desktop,2023-12,2023-12
TXN_853258,USR_00134,2024-02-05,8032.3,Enterprise Plan,completed,Organic,East,desktop,2023-12,2024-02
TXN_380464,USR_00135,2023-03-08,6207.69,Enterprise Plan,completed,Email,Central,desktop,2023-03,2023-03
TXN_745270,USR_00135,2023-04-12,644.11,Basic Plan,completed,Email,Central,desktop,2023-03,2023-04
TXN_639728,USR_00136,2023-05-08,2643.68,Pro Plan,completed,Meta_Facebook,East,desktop,2023-05,2023-05
TXN_711680,USR_00137,2023-09-12,4842.43,One-Time Purchase,completed,Google_Search,North,desktop,2023-09,2023-09
TXN_147440,USR_00138,2023-02-25,8818.28,Enterprise Plan,completed,Organic,South,desktop,2023-02,2023-02
TXN_901535,USR_00139,2023-04-10,692.17,Basic Plan,completed,Email,Central,tablet,2023-04,2023-04
TXN_684929,USR_00140,2023-11-16,695.95,Basic Plan,completed,TikTok,North,desktop,2023-11,2023-11
TXN_140804,USR_00140,2023-12-15,2649.37,One-Time Purchase,completed,TikTok,North,mobile,2023-11,2023-12
TXN_270395,USR_00141,2023-09-23,9655.84,Enterprise Plan,completed,Organic,South,desktop,2023-09,2023-09
TXN_486251,USR_00142,2023-06-03,7373.46,Enterprise Plan,completed,TikTok,East,desktop,2023-06,2023-06
TXN_133104,USR_00144,2023-03-29,2731.49,Pro Plan,completed,TikTok,Central,tablet,2023-03,2023-03
TXN_533020,USR_00144,2023-04-25,1773.35,One-Time Purchase,completed,TikTok,Central,tablet,2023-03,2023-04
TXN_685196,USR_00146,2023-12-15,2935.01,Pro Plan,completed,Email,Central,desktop,2023-12,2023-12
TXN_958130,USR_00147,2023-07-09,4509.07,One-Time Purchase,completed,Email,South,desktop,2023-07,2023-07
TXN_463188,USR_00147,2023-08-07,9775.57,Enterprise Plan,completed,Email,South,desktop,2023-07,2023-08
TXN_205065,USR_00148,2023-05-25,2455.92,Pro Plan,completed,Meta_Facebook,Central,desktop,2023-05,2023-05
TXN_600641,USR_00149,2023-02-21,3367.6,One-Time Purchase,completed,Meta_Facebook,North,tablet,2023-02,2023-02
TXN_661147,USR_00150,2023-05-28,825.15,Basic Plan,completed,Email,East,tablet,2023-05,2023-05
TXN_926236,USR_00151,2023-01-20,997.59,Basic Plan,completed,Meta_Facebook,West,desktop,2023-01,2023-01
TXN_398384,USR_00152,2023-05-29,963.23,Basic Plan,completed,Google_Search,North,desktop,2023-05,2023-05
TXN_386090,USR_00152,2023-07-22,2775.59,Pro Plan,completed,Google_Search,North,mobile,2023-05,2023-07
TXN_520304,USR_00153,2023-10-18,2720.82,One-Time Purchase,completed,Meta_Facebook,South,tablet,2023-10,2023-10
TXN_107161,USR_00153,2023-11-13,2215.18,Pro Plan,completed,Meta_Facebook,South,desktop,2023-10,2023-11
TXN_710754,USR_00153,2023-12-27,9769.17,Enterprise Plan,completed,Meta_Facebook,South,tablet,2023-10,2023-12
TXN_800224,USR_00153,2024-02-21,8462.84,Enterprise Plan,completed,Meta_Facebook,South,mobile,2023-10,2024-02
TXN_329772,USR_00154,2023-07-27,6836.72,Enterprise Plan,completed,TikTok,East,mobile,2023-07,2023-07
TXN_181896,USR_00155,2023-12-07,2781.41,One-Time Purchase,completed,Meta_Facebook,South,tablet,2023-12,2023-12
TXN_272529,USR_00155,2024-01-03,2358.05,Pro Plan,completed,Meta_Facebook,South,desktop,2023-12,2024-01
TXN_685941,USR_00156,2023-11-12,2445.95,One-Time Purchase,completed,Organic,North,desktop,2023-11,2023-11
TXN_834406,USR_00157,2023-07-22,521.64,Basic Plan,completed,Email,North,mobile,2023-07,2023-07
TXN_903028,USR_00158,2023-02-05,1144.91,One-Time Purchase,completed,Organic,North,tablet,2023-02,2023-02
TXN_493892,USR_00158,2023-03-23,2407.12,One-Time Purchase,completed,Organic,North,mobile,2023-02,2023-03
TXN_891030,USR_00162,2023-01-25,1400.39,One-Time Purchase,completed,Meta_Facebook,North,mobile,2023-01,2023-01
TXN_682851,USR_00163,2024-01-19,2437.99,Pro Plan,completed,Email,South,desktop,2024-01,2024-01
TXN_494747,USR_00164,2023-11-26,2217.82,One-Time Purchase,completed,Organic,Central,mobile,2023-11,2023-11
TXN_446305,USR_00165,2023-08-02,1440.44,One-Time Purchase,completed,TikTok,Central,tablet,2023-08,2023-08
TXN_417915,USR_00167,2023-04-07,1280.78,One-Time Purchase,completed,TikTok,Central,mobile,2023-04,2023-04
TXN_637727,USR_00168,2023-04-15,6541.11,Enterprise Plan,completed,Organic,South,desktop,2023-04,2023-04
TXN_312994,USR_00168,2023-06-03,3878.66,One-Time Purchase,completed,Organic,South,desktop,2023-04,2023-06
TXN_109585,USR_00171,2024-04-24,1600.95,Pro Plan,completed,Email,East,mobile,2024-04,2024-04
TXN_117975,USR_00172,2023-02-20,7677.69,Enterprise Plan,completed,TikTok,Central,tablet,2023-02,2023-02
TXN_414546,USR_00174,2023-02-10,2984.35,Pro Plan,completed,Email,West,tablet,2023-02,2023-02
TXN_158840,USR_00175,2023-11-29,2071.7,One-Time Purchase,completed,Google_Search,North,tablet,2023-11,2023-11
TXN_340927,USR_00176,2023-02-12,946.4,Basic Plan,completed,Organic,West,mobile,2023-02,2023-02
TXN_809922,USR_00177,2023-04-26,2349.04,Pro Plan,completed,Email,North,tablet,2023-04,2023-04
TXN_979414,USR_00178,2023-03-13,547.84,Basic Plan,completed,Google_Search,Central,mobile,2023-03,2023-03
TXN_614435,USR_00179,2023-11-11,816.06,Basic Plan,completed,TikTok,West,mobile,2023-11,2023-11
TXN_936821,USR_00180,2023-07-12,885.08,Basic Plan,completed,Organic,South,mobile,2023-07,2023-07
TXN_566339,USR_00180,2023-09-18,544.76,Basic Plan,completed,Organic,South,desktop,2023-07,2023-09
TXN_684041,USR_00180,2023-10-25,592.7,Basic Plan,completed,Organic,South,tablet,2023-07,2023-10
TXN_406024,USR_00181,2023-01-14,9317.59,Enterprise Plan,completed,Google_Search,East,desktop,2023-01,2023-01
TXN_415759,USR_00182,2023-10-14,1095.66,One-Time Purchase,completed,Meta_Facebook,Central,desktop,2023-10,2023-10
TXN_414313,USR_00182,2023-12-04,2151.01,Pro Plan,completed,Meta_Facebook,Central,desktop,2023-10,2023-12
TXN_722651,USR_00182,2023-12-28,2580.35,Pro Plan,completed,Meta_Facebook,Central,tablet,2023-10,2023-12
TXN_448354,USR_00183,2023-04-11,5032.84,Enterprise Plan,completed,Organic,North,tablet,2023-04,2023-04
TXN_870571,USR_00184,2023-08-07,4852.01,One-Time Purchase,completed,Organic,East,tablet,2023-08,2023-08
TXN_482746,USR_00185,2023-10-22,9081.47,Enterprise Plan,completed,Meta_Facebook,East,mobile,2023-10,2023-10
TXN_764100,USR_00186,2023-04-18,3461.99,One-Time Purchase,completed,Organic,East,desktop,2023-04,2023-04
TXN_177558,USR_00186,2023-05-23,2571.85,Pro Plan,completed,Organic,East,desktop,2023-04,2023-05
TXN_835716,USR_00187,2023-11-03,2854.13,One-Time Purchase,completed,Organic,Central,tablet,2023-11,2023-11
TXN_690579,USR_00188,2023-02-13,2469.5,Pro Plan,completed,Google_Search,South,tablet,2023-02,2023-02
TXN_909859,USR_00190,2023-10-13,2057.36,One-Time Purchase,completed,TikTok,Central,tablet,2023-10,2023-10
TXN_221707,USR_00191,2023-03-19,646.72,Basic Plan,completed,Email,North,tablet,2023-03,2023-03
TXN_646428,USR_00191,2023-04-17,7275.66,Enterprise Plan,completed,Email,North,desktop,2023-03,2023-04
TXN_584498,USR_00193,2023-12-13,1995.48,Pro Plan,completed,Meta_Facebook,South,mobile,2023-12,2023-12
TXN_507723,USR_00194,2023-04-06,2173.36,Pro Plan,completed,Organic,West,mobile,2023-04,2023-04
TXN_653349,USR_00195,2024-02-05,630.18,Basic Plan,completed,Meta_Facebook,South,tablet,2024-02,2024-02
TXN_747351,USR_00196,2023-11-09,6758.92,Enterprise Plan,completed,Organic,Central,mobile,2023-11,2023-11
TXN_291936,USR_00197,2023-10-30,618.29,Basic Plan,completed,Google_Search,South,desktop,2023-10,2023-10
TXN_429861,USR_00198,2023-10-03,1656.52,One-Time Purchase,completed,Meta_Facebook,Central,desktop,2023-10,2023-10
TXN_243167,USR_00198,2023-12-01,9758.21,Enterprise Plan,completed,Meta_Facebook,Central,mobile,2023-10,2023-12
TXN_612438,USR_00199,2023-09-16,3636.67,One-Time Purchase,completed,Organic,West,mobile,2023-09,2023-09
TXN_918665,USR_00200,2023-04-23,2305.41,Pro Plan,completed,Email,North,desktop,2023-04,2023-04
TXN_913308,USR_00203,2023-01-17,718.53,Basic Plan,completed,Organic,East,mobile,2023-01,2023-01
TXN_953047,USR_00204,2023-10-29,2423.23,Pro Plan,completed,Email,Central,mobile,2023-10,2023-10
TXN_403387,USR_00205,2023-09-30,9894.0,Enterprise Plan,completed,Email,Central,tablet,2023-09,2023-09
TXN_522419,USR_00207,2023-05-18,815.81,Basic Plan,completed,Organic,West,tablet,2023-05,2023-05
TXN_618746,USR_00209,2023-12-24,2951.19,Pro Plan,completed,Email,North,desktop,2023-12,2023-12
TXN_562721,USR_00210,2023-07-14,375.52,One-Time Purchase,completed,TikTok,Central,desktop,2023-07,2023-07
TXN_197874,USR_00211,2023-08-08,2810.64,Pro Plan,completed,Meta_Facebook,South,tablet,2023-08,2023-08
TXN_181724,USR_00212,2023-12-25,499.54,Basic Plan,completed,Meta_Facebook,West,mobile,2023-12,2023-12
TXN_772741,USR_00213,2023-08-31,5684.65,Enterprise Plan,completed,Meta_Facebook,West,tablet,2023-08,2023-08
TXN_246814,USR_00215,2023-03-19,1629.03,Pro Plan,completed,Organic,Central,mobile,2023-03,2023-03
TXN_360221,USR_00216,2023-06-29,1914.45,Pro Plan,completed,Organic,East,tablet,2023-06,2023-06
TXN_618927,USR_00217,2023-12-23,890.9,Basic Plan,completed,Email,North,desktop,2023-12,2023-12
TXN_478638,USR_00217,2024-01-19,763.14,Basic Plan,completed,Email,North,desktop,2023-12,2024-01
TXN_117500,USR_00218,2023-10-19,4784.93,One-Time Purchase,completed,Organic,East,tablet,2023-10,2023-10
TXN_927630,USR_00218,2023-11-12,1558.74,Pro Plan,completed,Organic,East,desktop,2023-10,2023-11
TXN_186431,USR_00218,2024-01-03,2289.8,One-Time Purchase,completed,Organic,East,tablet,2023-10,2024-01
TXN_636141,USR_00219,2023-10-02,5416.99,Enterprise Plan,completed,TikTok,Central,mobile,2023-10,2023-10
TXN_160718,USR_00219,2023-11-24,3729.8,One-Time Purchase,completed,TikTok,Central,mobile,2023-10,2023-11
TXN_620526,USR_00220,2023-03-17,2551.25,Pro Plan,completed,Organic,North,desktop,2023-03,2023-03
TXN_908903,USR_00221,2023-05-13,8663.68,Enterprise Plan,completed,Meta_Facebook,East,mobile,2023-05,2023-05
TXN_257375,USR_00224,2023-01-02,734.88,Basic Plan,completed,Google_Search,North,mobile,2023-01,2023-01
TXN_520400,USR_00226,2023-03-03,2705.51,Pro Plan,completed,TikTok,North,mobile,2023-03,2023-03
TXN_691194,USR_00227,2023-06-09,683.46,Basic Plan,completed,Email,North,desktop,2023-06,2023-06
TXN_910143,USR_00227,2023-08-07,7957.45,Enterprise Plan,completed,Email,North,mobile,2023-06,2023-08
TXN_766833,USR_00228,2023-05-06,615.5,Basic Plan,completed,Meta_Facebook,North,tablet,2023-05,2023-05
TXN_540208,USR_00229,2023-01-01,2293.72,Pro Plan,completed,Organic,East,desktop,2023-01,2023-01
TXN_178465,USR_00231,2023-07-10,2454.82,Pro Plan,completed,Organic,North,tablet,2023-07,2023-07
TXN_992247,USR_00231,2023-09-04,1854.16,Pro Plan,completed,Organic,North,desktop,2023-07,2023-09
TXN_242723,USR_00232,2023-07-21,6167.06,Enterprise Plan,completed,Email,East,tablet,2023-07,2023-07
TXN_526259,USR_00232,2023-08-16,2173.35,Pro Plan,completed,Email,East,mobile,2023-07,2023-08
TXN_377880,USR_00232,2023-10-09,2176.88,Pro Plan,completed,Email,East,mobile,2023-07,2023-10
TXN_810078,USR_00233,2023-06-17,6980.22,Enterprise Plan,completed,Meta_Facebook,North,desktop,2023-06,2023-06
TXN_942946,USR_00234,2023-03-31,1641.09,Pro Plan,completed,Google_Search,West,mobile,2023-03,2023-03
