user_id,total_revenue,total_orders,average_order_value,purchase_frequency,CLTV
USR_00168,10419.77,2,5209.88,2,10419.76
USR_00171,1600.95,1,1600.95,1,1600.95
USR_00172,7677.69,1,7677.69,1,7677.69
USR_00174,2984.35,1,2984.35,1,2984.35
USR_00175,2071.7,1,2071.7,1,2071.7
USR_00176,946.4,1,946.4,1,946.4
USR_00177,2349.04,1,2349.04,1,2349.04
USR_00178,547.84,1,547.84,1,547.84
USR_00179,816.06,1,816.06,1,816.06
USR_00180,2022.54,3,674.18,3,2022.54
USR_00181,9317.59,1,9317.59,1,9317.59
USR_00182,5827.02,3,1942.34,3,5827.02
USR_00183,5032.84,1,5032.84,1,5032.84
USR_00184,4852.01,1,4852.01,1,4852.01
USR_00185,9081.47,1,9081.47,1,9081.47
USR_00186,6033.84,2,3016.92,2,6033.84
USR_00187,2854.13,1,2854.13,1,2854.13
USR_00188,2469.5,1,2469.5,1,2469.5
USR_00190,2057.36,1,2057.36,1,2057.36
USR_00191,7922.38,2,3961.19,2,7922.38
USR_00193,1995.48,1,1995.48,1,1995.48
USR_00194,2173.36,1,2173.36,1,2173.36
USR_00195,630.18,1,630.18,1,630.18
USR_00196,6758.92,1,6758.92,1,6758.92
USR_00197,618.29,1,618.29,1,618.29
USR_00198,11414.73,2,5707.36,2,11414.72
USR_00199,3636.67,1,3636.67,1,3636.67
USR_00200,2305.41,1,2305.41,1,2305.41
USR_00203,718.53,1,718.53,1,718.53
USR_00204,2423.23,1,2423.23,1,2423.23
USR_00205,9894.0,1,9894.0,1,9894.0
USR_00207,815.81,1,815.81,1,815.81
USR_00209,2951.19,1,2951.19,1,2951.19
USR_00210,375.52,1,375.52,1,375.52
USR_00211,2810.64,1,2810.64,1,2810.64
USR_00212,499.54,1,499.54,1,499.54
USR_00213,5684.65,1,5684.65,1,5684.65
USR_00215,1629.03,1,1629.03,1,1629.03
USR_00216,1914.45,1,1914.45,1,1914.45
USR_00217,1654.04,2,827.02,2,1654.04
USR_00218,8633.470000000001,3,2877.82,3,8633.46
USR_00219,9146.79,2,4573.4,2,9146.8
USR_00220,2551.25,1,2551.25,1,2551.25
USR_00221,8663.68,1,8663.68,1,8663.68
USR_00224,734.88,1,734.88,1,734.88
USR_00226,2705.51,1,2705.51,1,2705.51
USR_00227,8640.91,2,4320.46,2,8640.92
USR_00228,615.5,1,615.5,1,615.5
USR_00229,2293.72,1,2293.72,1,2293.72
USR_00231,4308.9800000000005,2,2154.49,2,4308.98
USR_00232,10517.29,3,3505.76,3,10517.28
USR_00233,6980.22,1,6980.22,1,6980.22
USR_00234,3336.16,2,1668.08,2,3336.16
USR_00235,509.9,1,509.9,1,509.9
USR_00237,1111.19,1,1111.19,1,1111.19
USR_00238,6914.08,1,6914.08,1,6914.08
USR_00239,6862.01,2,3431.0,2,6862.0
USR_00242,477.43,1,477.43,1,477.43
USR_00244,6507.83,1,6507.83,1,6507.83
USR_00245,2497.3,1,2497.3,1,2497.3
USR_00246,1490.8200000000002,2,745.41,2,1490.82
USR_00247,2210.41,3,736.8,3,2210.4
USR_00248,664.55,1,664.55,1,664.55
USR_00249,6660.95,2,3330.48,2,6660.96
USR_00250,2456.29,1,2456.29,1,2456.29
USR_00251,3652.71,2,1826.36,2,3652.72
USR_00253,3892.81,2,1946.4,2,3892.8
USR_00256,10363.689999999999,2,5181.84,2,10363.68
USR_00257,3936.95,1,3936.95,1,3936.95
USR_00259,2754.47,1,2754.47,1,2754.47
USR_00260,5846.48,2,2923.24,2,5846.48
USR_00264,8421.07,1,8421.07,1,8421.07
USR_00265,2274.94,1,2274.94,1,2274.94
USR_00266,6296.13,1,6296.13,1,6296.13
USR_00269,13433.44,2,6716.72,2,13433.44
USR_00270,2637.8,2,1318.9,2,2637.8
USR_00271,1584.58,1,1584.58,1,1584.58
USR_00272,12756.630000000001,3,4252.21,3,12756.63
USR_00273,1596.93,1,1596.93,1,1596.93
USR_00274,2013.1,1,2013.1,1,2013.1
USR_00275,1815.79,1,1815.79,1,1815.79
USR_00276,7370.98,1,7370.98,1,7370.98
USR_00278,11653.14,4,2913.28,4,11653.12
USR_00279,6319.63,1,6319.63,1,6319.63
USR_00280,5712.54,2,2856.27,2,5712.54
USR_00281,2180.18,1,2180.18,1,2180.18
USR_00282,4364.32,3,1454.77,3,4364.31
USR_00284,3913.8700000000003,2,1956.94,2,3913.88
USR_00285,6203.46,1,6203.46,1,6203.46
USR_00288,4765.67,1,4765.67,1,4765.67
USR_00289,17726.989999999998,2,8863.49,2,17726.98
USR_00291,6313.44,2,3156.72,2,6313.44
USR_00293,4827.89,1,4827.89,1,4827.89
USR_00294,18155.72,2,9077.86,2,18155.72
USR_00295,1443.25,2,721.62,2,1443.24
USR_00297,870.83,1,870.83,1,870.83
USR_00298,1940.27,1,1940.27,1,1940.27
USR_00299,1610.83,1,1610.83,1,1610.83
USR_00300,3634.54,1,3634.54,1,3634.54
USR_00302,2851.48,1,2851.48,1,2851.48
USR_00306,2796.43,1,2796.43,1,2796.43
USR_00307,728.61,1,728.61,1,728.61
USR_00308,9575.02,3,3191.67,3,9575.01
USR_00309,1703.57,1,1703.57,1,1703.57
USR_00310,1683.85,1,1683.85,1,1683.85
USR_00311,1740.43,1,1740.43,1,1740.43
USR_00312,3328.97,1,3328.97,1,3328.97
USR_00313,5720.299999999999,2,2860.15,2,5720.3
USR_00314,9792.29,1,9792.29,1,9792.29
USR_00315,19244.8,3,6414.93,3,19244.79
USR_00317,3372.37,1,3372.37,1,3372.37
USR_00320,1388.22,1,1388.22,1,1388.22
USR_00321,4442.29,1,4442.29,1,4442.29
USR_00322,8241.84,2,4120.92,2,8241.84
USR_00323,2158.85,1,2158.85,1,2158.85
USR_00324,11070.17,2,5535.08,2,11070.16
USR_00325,14452.54,3,4817.51,3,14452.53
USR_00327,613.91,1,613.91,1,613.91
USR_00328,740.12,1,740.12,1,740.12
USR_00330,2438.9300000000003,2,1219.47,2,2438.94
USR_00331,686.51,1,686.51,1,686.51
USR_00332,9957.99,1,9957.99,1,9957.99
USR_00333,1491.75,1,1491.75,1,1491.75
USR_00335,7009.030000000001,2,3504.52,2,7009.04
USR_00336,971.86,1,971.86,1,971.86
USR_00337,986.82,1,986.82,1,986.82
USR_00339,9140.65,3,3046.88,3,9140.64
USR_00340,9805.19,1,9805.19,1,9805.19
USR_00341,3277.21,1,3277.21,1,3277.21
USR_00342,6240.29,1,6240.29,1,6240.29
USR_00343,1774.2,1,1774.2,1,1774.2
USR_00344,2602.14,1,2602.14,1,2602.14
USR_00345,923.01,1,923.01,1,923.01
USR_00347,4715.38,1,4715.38,1,4715.38
USR_00348,8445.05,1,8445.05,1,8445.05
USR_00349,6182.2699999999995,3,2060.76,3,6182.28
USR_00351,764.18,1,764.18,1,764.18
USR_00352,6297.85,1,6297.85,1,6297.85
USR_00355,2014.44,1,2014.44,1,2014.44
USR_00356,5859.42,4,1464.86,4,5859.44
USR_00357,830.77,1,830.77,1,830.77
USR_00359,8927.35,2,4463.68,2,8927.36
USR_00360,5288.04,2,2644.02,2,5288.04
USR_00362,5704.71,3,1901.57,3,5704.71
USR_00363,4909.08,4,1227.27,4,4909.08
USR_00364,7405.15,1,7405.15,1,7405.15
USR_00365,5074.34,1,5074.34,1,5074.34
USR_00366,2056.1,1,2056.1,1,2056.1
USR_00368,8621.0,1,8621.0,1,8621.0
USR_00369,12537.67,3,4179.22,3,12537.66
USR_00371,760.6,1,760.6,1,760.6
USR_00372,7727.05,2,3863.52,2,7727.04
USR_00373,3162.64,2,1581.32,2,3162.64
USR_00378,3488.92,2,1744.46,2,3488.92
USR_00380,889.06,1,889.06,1,889.06
USR_00383,2434.06,2,1217.03,2,2434.06
USR_00385,11172.5,2,5586.25,2,11172.5
USR_00386,1516.3000000000002,2,758.15,2,1516.3
USR_00387,7249.31,1,7249.31,1,7249.31
USR_00388,5850.6,1,5850.6,1,5850.6
USR_00393,3386.58,1,3386.58,1,3386.58
USR_00394,2138.7,1,2138.7,1,2138.7
USR_00396,881.72,1,881.72,1,881.72
USR_00397,5567.1,3,1855.7,3,5567.1
USR_00398,9749.99,1,9749.99,1,9749.99
USR_00399,4374.51,1,4374.51,1,4374.51
USR_00400,759.32,1,759.32,1,759.32
USR_00401,2276.7,2,1138.35,2,2276.7
USR_00402,416.09,1,416.09,1,416.09
USR_00403,3279.14,1,3279.14,1,3279.14
USR_00404,7221.67,3,2407.22,3,7221.66
USR_00405,3257.21,2,1628.6,2,3257.2
USR_00406,707.48,1,707.48,1,707.48
USR_00407,9657.14,3,3219.05,3,9657.15
USR_00408,7134.27,1,7134.27,1,7134.27
USR_00409,2613.77,1,2613.77,1,2613.77
USR_00410,7138.82,2,3569.41,2,7138.82
USR_00411,9610.4,1,9610.4,1,9610.4
USR_00412,11758.64,2,5879.32,2,11758.64
USR_00413,668.58,1,668.58,1,668.58
USR_00414,12946.46,2,6473.23,2,12946.46
USR_00415,686.11,1,686.11,1,686.11
USR_00417,654.49,1,654.49,1,654.49
USR_00418,6001.78,1,6001.78,1,6001.78
USR_00419,9655.29,2,4827.65,2,9655.3
USR_00420,1079.4699999999998,2,539.73,2,1079.46
USR_00421,19245.88,4,4811.47,4,19245.88
USR_00423,5177.46,2,2588.73,2,5177.46
USR_00424,2492.92,1,2492.92,1,2492.92
USR_00425,7774.44,1,7774.44,1,7774.44
USR_00429,850.68,1,850.68,1,850.68
USR_00430,10769.18,2,5384.59,2,10769.18
USR_00431,534.87,1,534.87,1,534.87
USR_00432,12879.119999999999,3,4293.04,3,12879.12
USR_00434,7674.17,1,7674.17,1,7674.17
USR_00435,1957.7,1,1957.7,1,1957.7
USR_00437,6375.09,1,6375.09,1,6375.09
USR_00439,2755.42,1,2755.42,1,2755.42
USR_00440,820.13,1,820.13,1,820.13
USR_00441,9635.11,1,9635.11,1,9635.11
USR_00442,18790.5,2,9395.25,2,18790.5
USR_00443,8387.59,1,8387.59,1,8387.59
USR_00444,1352.6,2,676.3,2,1352.6
USR_00446,7333.78,1,7333.78,1,7333.78
USR_00447,637.64,1,637.64,1,637.64
USR_00448,744.86,1,744.86,1,744.86
USR_00449,2419.95,1,2419.95,1,2419.95
USR_00450,8303.3,2,4151.65,2,8303.3
USR_00451,6666.2,1,6666.2,1,6666.2
USR_00452,919.59,1,919.59,1,919.59
USR_00453,2523.2200000000003,2,1261.61,2,2523.22
USR_00454,517.44,1,517.44,1,517.44
USR_00455,585.12,1,585.12,1,585.12
USR_00457,2002.26,1,2002.26,1,2002.26
USR_00459,938.81,1,938.81,1,938.81
USR_00460,4976.57,2,2488.28,2,4976.56
USR_00462,2526.87,1,2526.87,1,2526.87
USR_00463,3112.44,2,1556.22,2,3112.44
USR_00464,1171.9499999999998,2,585.97,2,1171.94
USR_00465,3086.33,2,1543.16,2,3086.32
USR_00466,8110.38,2,4055.19,2,8110.38
USR_00467,707.89,1,707.89,1,707.89
USR_00468,9984.76,3,3328.25,3,9984.75
USR_00469,4498.14,1,4498.14,1,4498.14
USR_00470,3208.93,1,3208.93,1,3208.93
USR_00472,6725.13,1,6725.13,1,6725.13
USR_00474,6894.93,4,1723.73,4,6894.92
USR_00475,1728.19,1,1728.19,1,1728.19
USR_00476,573.17,1,573.17,1,573.17
USR_00477,2342.73,1,2342.73,1,2342.73
USR_00478,2299.46,1,2299.46,1,2299.46
USR_00479,8235.22,1,8235.22,1,8235.22
USR_00481,2167.96,1,2167.96,1,2167.96
USR_00483,6013.17,2,3006.58,2,6013.16
USR_00484,4922.6900000000005,3,1640.9,3,4922.7
USR_00485,2927.62,1,2927.62,1,2927.62
USR_00486,7464.25,1,7464.25,1,7464.25
USR_00487,572.07,1,572.07,1,572.07
USR_00489,8893.04,1,8893.04,1,8893.04
USR_00490,13058.6,2,6529.3,2,13058.6
USR_00492,6829.129999999999,2,3414.56,2,6829.12
USR_00493,953.26,1,953.26,1,953.26
USR_00494,2504.9,1,2504.9,1,2504.9
USR_00495,2945.4,1,2945.4,1,2945.4
USR_00496,18395.17,2,9197.58,2,18395.16
USR_00497,2242.72,1,2242.72,1,2242.72
USR_00498,1664.77,1,1664.77,1,1664.77
USR_00499,3457.85,1,3457.85,1,3457.85
USR_00500,3707.44,1,3707.44,1,3707.44
USR_00501,806.77,1,806.77,1,806.77
USR_00502,748.07,1,748.07,1,748.07
USR_00505,2379.01,1,2379.01,1,2379.01
USR_00506,1967.69,1,1967.69,1,1967.69
USR_00507,13605.189999999999,4,3401.3,4,13605.2
USR_00508,768.21,1,768.21,1,768.21
USR_00509,991.88,1,991.88,1,991.88
USR_00511,824.77,1,824.77,1,824.77
USR_00512,8123.82,1,8123.82,1,8123.82
USR_00513,993.4,1,993.4,1,993.4
USR_00514,1553.59,1,1553.59,1,1553.59
USR_00515,4069.3599999999997,2,2034.68,2,4069.36
USR_00516,8292.35,1,8292.35,1,8292.35
USR_00517,949.29,1,949.29,1,949.29
USR_00518,618.04,1,618.04,1,618.04
USR_00519,2403.4,2,1201.7,2,2403.4
USR_00520,7375.11,1,7375.11,1,7375.11
USR_00521,7762.64,1,7762.64,1,7762.64
USR_00522,2124.81,1,2124.81,1,2124.81
USR_00524,4419.78,1,4419.78,1,4419.78
USR_00525,1503.61,1,1503.61,1,1503.61
USR_00526,13021.06,2,6510.53,2,13021.06
USR_00527,4106.91,2,2053.46,2,4106.92
USR_00528,10625.92,2,5312.96,2,10625.92
USR_00529,6635.24,3,2211.75,3,6635.25
USR_00530,2267.42,2,1133.71,2,2267.42
USR_00531,6813.77,2,3406.88,2,6813.76
USR_00532,8063.66,1,8063.66,1,8063.66
USR_00533,3151.4,2,1575.7,2,3151.4
USR_00534,5902.27,1,5902.27,1,5902.27
USR_00535,2123.63,1,2123.63,1,2123.63
USR_00537,9512.33,2,4756.16,2,9512.32
USR_00538,3377.1800000000003,3,1125.73,3,3377.19
USR_00540,877.25,1,877.25,1,877.25
USR_00542,2354.57,1,2354.57,1,2354.57
USR_00543,2240.19,1,2240.19,1,2240.19
USR_00545,7935.04,1,7935.04,1,7935.04
USR_00546,501.92,1,501.92,1,501.92
USR_00547,1519.81,1,1519.81,1,1519.81
USR_00549,582.05,1,582.05,1,582.05
USR_00550,3049.56,1,3049.56,1,3049.56
USR_00552,742.75,1,742.75,1,742.75
USR_00554,8630.05,1,8630.05,1,8630.05
USR_00555,915.45,1,915.45,1,915.45
USR_00556,4067.7200000000003,2,2033.86,2,4067.72
USR_00557,667.87,1,667.87,1,667.87
USR_00558,9967.31,1,9967.31,1,9967.31
USR_00559,910.81,1,910.81,1,910.81
USR_00560,3880.23,1,3880.23,1,3880.23
USR_00561,6483.139999999999,2,3241.57,2,6483.14
USR_00562,1705.99,1,1705.99,1,1705.99
USR_00563,7007.25,1,7007.25,1,7007.25
USR_00567,8784.23,1,8784.23,1,8784.23
USR_00568,919.79,1,919.79,1,919.79
USR_00570,4192.66,1,4192.66,1,4192.66
USR_00571,8383.11,1,8383.11,1,8383.11
USR_00572,5763.530000000001,2,2881.77,2,5763.54
USR_00574,15972.0,4,3993.0,4,15972.0
USR_00576,1393.26,1,1393.26,1,1393.26
USR_00579,8932.79,1,8932.79,1,8932.79
USR_00580,4765.51,3,1588.5,3,4765.5
USR_00581,1465.26,2,732.63,2,1465.26
USR_00582,2898.67,1,2898.67,1,2898.67
USR_00584,2058.96,1,2058.96,1,2058.96
USR_00586,3581.62,1,3581.62,1,3581.62
USR_00589,3458.56,1,3458.56,1,3458.56
USR_00590,9861.52,2,4930.76,2,9861.52
USR_00591,1597.04,1,1597.04,1,1597.04
USR_00592,308.19,1,308.19,1,308.19
USR_00593,839.09,1,839.09,1,839.09
USR_00594,1785.34,1,1785.34,1,1785.34
USR_00595,1794.32,1,1794.32,1,1794.32
USR_00596,9201.54,1,9201.54,1,9201.54
USR_00600,4002.26,3,1334.09,3,4002.27
USR_00601,1863.73,1,1863.73,1,1863.73
USR_00605,13582.17,3,4527.39,3,13582.17
USR_00607,2199.4300000000003,2,1099.72,2,2199.44
USR_00608,4427.42,1,4427.42,1,4427.42
USR_00610,1578.89,1,1578.89,1,1578.89
USR_00612,2177.12,1,2177.12,1,2177.12
USR_00613,16986.920000000002,4,4246.73,4,16986.92
USR_00614,9632.03,1,9632.03,1,9632.03
USR_00615,5041.67,1,5041.67,1,5041.67
USR_00616,3694.8,1,3694.8,1,3694.8
USR_00617,4307.84,1,4307.84,1,4307.84
USR_00618,6909.24,2,3454.62,2,6909.24
USR_00619,2876.85,3,958.95,3,2876.85
USR_00620,7591.66,1,7591.66,1,7591.66
USR_00621,2546.78,1,2546.78,1,2546.78
USR_00622,994.54,1,994.54,1,994.54
USR_00623,2473.67,1,2473.67,1,2473.67
USR_00624,4668.360000000001,2,2334.18,2,4668.36
USR_00625,11417.529999999999,2,5708.76,2,11417.52
USR_00626,6890.5,2,3445.25,2,6890.5
USR_00627,837.69,1,837.69,1,837.69
USR_00629,507.02,1,507.02,1,507.02
USR_00631,12488.27,3,4162.76,3,12488.28
USR_00634,8241.77,2,4120.88,2,8241.76
USR_00635,3773.5,1,3773.5,1,3773.5
USR_00637,6165.389999999999,2,3082.7,2,6165.4
USR_00638,6114.23,2,3057.12,2,6114.24
USR_00639,3282.2799999999997,2,1641.14,2,3282.28
USR_00640,14875.029999999999,3,4958.34,3,14875.02
USR_00641,995.24,1,995.24,1,995.24
USR_00642,1862.53,1,1862.53,1,1862.53
USR_00643,821.2,1,821.2,1,821.2
USR_00644,2743.62,1,2743.62,1,2743.62
USR_00646,9515.34,2,4757.67,2,9515.34
USR_00648,2410.53,2,1205.27,2,2410.54
USR_00649,831.66,1,831.66,1,831.66
USR_00650,13506.07,3,4502.02,3,13506.06
USR_00651,933.5,1,933.5,1,933.5
USR_00652,3402.07,1,3402.07,1,3402.07
USR_00653,4044.06,1,4044.06,1,4044.06
USR_00656,4450.26,2,2225.13,2,4450.26
USR_00657,9780.62,2,4890.31,2,9780.62
USR_00658,5722.5,1,5722.5,1,5722.5
USR_00659,4063.5,2,2031.75,2,4063.5
USR_00660,13522.009999999998,2,6761.0,2,13522.0
USR_00661,1667.08,1,1667.08,1,1667.08
USR_00662,3207.1,2,1603.55,2,3207.1
USR_00663,2439.46,1,2439.46,1,2439.46
USR_00664,8160.67,1,8160.67,1,8160.67
USR_00666,4119.48,1,4119.48,1,4119.48
USR_00667,7008.93,2,3504.46,2,7008.92
USR_00668,9256.25,1,9256.25,1,9256.25
USR_00669,956.32,1,956.32,1,956.32
USR_00670,5522.0599999999995,3,1840.69,3,5522.07
USR_00671,813.78,1,813.78,1,813.78
USR_00672,5775.66,2,2887.83,2,5775.66
USR_00673,7797.599999999999,2,3898.8,2,7797.6
USR_00674,9085.650000000001,2,4542.83,2,9085.66
USR_00675,3082.86,1,3082.86,1,3082.86
USR_00677,1956.78,1,1956.78,1,1956.78
USR_00678,581.56,1,581.56,1,581.56
USR_00681,3948.1900000000005,2,1974.1,2,3948.2
USR_00682,4493.72,1,4493.72,1,4493.72
USR_00683,7318.13,2,3659.06,2,7318.12
USR_00684,6821.48,1,6821.48,1,6821.48
USR_00685,13934.739999999998,2,6967.37,2,13934.74
USR_00686,2472.42,2,1236.21,2,2472.42
USR_00687,1463.41,1,1463.41,1,1463.41
USR_00688,2100.92,1,2100.92,1,2100.92
USR_00689,931.18,1,931.18,1,931.18
USR_00690,7579.0,3,2526.33,3,7578.99
USR_00691,6596.610000000001,2,3298.3,2,6596.6
USR_00692,7506.32,2,3753.16,2,7506.32
USR_00695,6033.62,1,6033.62,1,6033.62
USR_00696,6516.05,1,6516.05,1,6516.05
USR_00697,5194.45,1,5194.45,1,5194.45
USR_00698,8609.4,1,8609.4,1,8609.4
USR_00699,2594.72,1,2594.72,1,2594.72
USR_00700,1336.0,1,1336.0,1,1336.0
USR_00701,7352.98,4,1838.24,4,7352.96
USR_00702,687.94,1,687.94,1,687.94
USR_00705,550.41,1,550.41,1,550.41
USR_00706,1223.6,2,611.8,2,1223.6
USR_00707,10264.73,2,5132.36,2,10264.72
USR_00708,3328.33,2,1664.16,2,3328.32
USR_00709,4195.73,2,2097.86,2,4195.72
USR_00711,680.2,1,680.2,1,680.2
USR_00714,2546.95,2,1273.47,2,2546.94
USR_00715,939.58,1,939.58,1,939.58
USR_00716,1906.74,1,1906.74,1,1906.74
USR_00718,3385.02,2,1692.51,2,3385.02
USR_00719,619.17,1,619.17,1,619.17
USR_00720,1720.8400000000001,2,860.42,2,1720.84
USR_00722,3990.15,1,3990.15,1,3990.15
USR_00724,16106.02,3,5368.67,3,16106.01
USR_00725,485.09,1,485.09,1,485.09
USR_00726,5416.45,1,5416.45,1,5416.45
USR_00728,7630.68,2,3815.34,2,7630.68
USR_00729,5321.36,1,5321.36,1,5321.36
USR_00730,1764.4499999999998,2,882.22,2,1764.44
USR_00732,5919.39,1,5919.39,1,5919.39
USR_00733,4687.95,1,4687.95,1,4687.95
USR_00736,6106.780000000001,2,3053.39,2,6106.78
USR_00737,2313.14,1,2313.14,1,2313.14
